Ver. 2.0
CustomSeparator  
d_time double-matrix*1*3 #
3454.214035 -0.294922 -0.644531 0.463379
3454.297439 0.037598 -1.182617 0.416504
3454.335672 -0.004395 -1.214355 0.501465
3454.366092 0.010742 -1.237793 0.471680
3454.402658 0.048340 -1.204102 0.463379
3454.484023 0.056641 -1.105957 0.435547
3454.547676 0.141602 -0.968262 0.234863
3454.629816 0.168457 -0.940430 0.231445
3454.697365 0.251953 -1.093262 0.334473
3454.733976 0.198242 -1.078125 0.423340
3454.801451 0.133301 -1.083984 0.480469
3454.819599 -0.011719 -1.143555 0.402832
3454.863505 -0.114258 -1.108887 0.367188
3454.898985 -0.099121 -1.135742 0.341309
3454.943802 -0.166016 -1.084961 0.375977
3454.979466 -0.175781 -1.100098 0.376953
3455.009401 -0.206055 -1.081543 0.419922
3455.150424 -0.201172 -0.992188 0.448730
3455.213794 -0.402832 -0.712402 0.523926
3455.262322 -0.469727 -0.621094 0.534180
3455.340424 -0.505371 -0.540527 0.503418
3455.366981 -0.518555 -0.505371 0.503418
3455.412125 -0.538086 -0.395020 0.471191
3455.495277 -0.598633 -0.353516 0.436523
3455.549796 -0.663574 -0.268555 0.512695
3455.578336 -0.656738 -0.316895 0.552246
3455.609153 -0.687988 -0.316406 0.609863
3455.659645 -0.729980 -0.336914 0.659668
3455.687903 -0.730469 -0.376465 0.691406
3455.746179 -0.695801 -0.374512 0.658203
3455.774114 -0.715332 -0.383789 0.655273
3455.815253 -0.722168 -0.375488 0.622559
3455.861788 -0.714355 -0.348633 0.598633
3455.946106 -0.720703 -0.333008 0.607910
3456.017152 -0.724609 -0.342773 0.624512
3456.053109 -0.736328 -0.344727 0.620117
3456.114754 -0.705566 -0.324219 0.608887
3456.170495 -0.719727 -0.337891 0.605469
3456.215182 -0.712402 -0.312012 0.602051
3456.277788 -0.720703 -0.332520 0.600098
3456.310789 -0.731934 -0.336426 0.608398
3456.360546 -0.686523 -0.369141 0.617676
3456.414998 -0.718750 -0.348633 0.607422
3456.452192 -0.718750 -0.359863 0.623535
3456.500167 -0.731934 -0.392090 0.637207
3456.577847 -0.703613 -0.394043 0.633301
3456.598937 -0.714355 -0.397949 0.650391
3456.642416 -0.703125 -0.405762 0.640137
3456.664251 -0.697754 -0.397949 0.647949
3456.753559 -0.697754 -0.393066 0.648438
3456.805399 -0.704102 -0.389160 0.636719
3456.848146 -0.695313 -0.368652 0.640625
3456.897355 -0.680176 -0.355957 0.635742
3456.921898 -0.677734 -0.352051 0.641602
3456.953780 -0.678223 -0.343750 0.634766
3456.988745 -0.671875 -0.344238 0.643555
3457.037064 -0.678223 -0.344727 0.664063
3457.146988 -0.661621 -0.341797 0.667969
3457.180246 -0.679199 -0.322266 0.662109
3457.222106 -0.669434 -0.331543 0.665527
3457.270999 -0.662109 -0.336914 0.673828
3457.296219 -0.664551 -0.352539 0.670410
3457.346159 -0.654297 -0.344238 0.671875
3457.372159 -0.665527 -0.339355 0.678711
3457.396219 -0.668457 -0.348145 0.677734
3457.444722 -0.685059 -0.339844 0.671387
3457.465502 -0.685059 -0.332520 0.685547
3457.532498 -0.615234 -0.307129 0.706543
3457.589882 -0.673828 -0.368164 0.638672
3457.609546 -0.702148 -0.413086 0.634277
3457.645953 -0.693848 -0.417480 0.598145
3457.703005 -0.671875 -0.375977 0.588867
3457.744147 -0.641113 -0.361816 0.616699
3457.770693 -0.659180 -0.369141 0.648926
3457.795250 -0.658691 -0.355957 0.682129
3457.847277 -0.695801 -0.359863 0.696289
3457.898482 -0.697754 -0.374023 0.687988
3457.979435 -0.682129 -0.375000 0.656250
3458.011460 -0.673340 -0.366699 0.640625
3458.060716 -0.662598 -0.348633 0.666992
3458.094172 -0.672852 -0.341309 0.676758
3458.145085 -0.687500 -0.341309 0.682617
3458.207525 -0.590820 -0.352051 0.696289
3458.249497 -0.691406 -0.343750 0.669922
3458.304948 -0.668945 -0.397461 0.618652
3458.342592 -0.674805 -0.394043 0.594238
3458.411244 -0.683594 -0.355957 0.607422
3458.446046 -0.720215 -0.341797 0.636230
3458.469835 -0.724609 -0.330566 0.644531
3458.541613 -0.711914 -0.386230 0.646973
3458.571075 -0.674805 -0.365723 0.664551
3458.645667 -0.687500 -0.366211 0.656738
3458.708084 -0.665527 -0.372559 0.637695
3458.765311 -0.674805 -0.388672 0.684570
3458.803074 -0.670410 -0.354492 0.679688
3458.865748 -0.624512 -0.393066 0.645996
3458.935881 -0.675293 -0.420898 0.603516
3458.992085 -0.687988 -0.432129 0.568359
3459.014102 -0.696289 -0.406738 0.566895
3459.062114 -0.693359 -0.379395 0.586426
3459.140242 -0.673828 -0.373535 0.665527
3459.196467 -0.663574 -0.383789 0.684082
3459.204788 -0.667480 -0.389648 0.674316
3459.237568 -0.672852 -0.393555 0.683594
3459.298548 -0.669922 -0.391602 0.654785
3459.348005 -0.663574 -0.388184 0.642090
3459.379398 -0.648438 -0.382324 0.652832
3459.440181 -0.636719 -0.379395 0.686523
3459.511276 -0.663574 -0.395508 0.679199
3459.541391 -0.549805 -0.413574 0.647461
3459.611998 -0.655273 -0.435059 0.594238
3459.647220 -0.704102 -0.429199 0.530762
3459.687470 -0.686523 -0.432129 0.560059
3459.766355 -0.666504 -0.423340 0.604492
3459.825889 -0.670898 -0.427246 0.646484
3459.953385 -0.675293 -0.473633 0.667969
3460.234557 -0.648926 -0.469238 0.654297
3460.400117 -0.671875 -0.516113 0.576660
3460.811288 -0.687500 -0.509277 0.555664
3460.851389 -0.667969 -0.481445 0.598633
3460.936167 -0.720215 -0.495117 0.532715
3460.961470 -0.716309 -0.452148 0.526367
3461.025408 -0.645020 -0.432129 0.545898
3461.060285 -0.653809 -0.429688 0.587891
3461.092821 -0.663574 -0.455078 0.629883
3461.236061 -0.664063 -0.451172 0.623047
3461.267968 -0.671875 -0.453613 0.618164
3461.340991 -0.639648 -0.430176 0.655273
3461.372863 -0.659180 -0.425293 0.661621
3461.404773 -0.596191 -0.456543 0.608398
3461.436901 -0.648926 -0.398926 0.670898
3461.506364 -0.710449 -0.497559 0.603027
3461.577210 -0.685059 -0.439941 0.530273
3461.658251 -0.656738 -0.432129 0.610840
3461.683448 -0.657715 -0.426758 0.635254
3461.750477 -0.669922 -0.424805 0.659180
3461.787293 -0.666016 -0.455566 0.649414
3461.851948 -0.666016 -0.450684 0.625000
3461.921375 -0.671875 -0.437012 0.625488
3461.979109 -0.644043 -0.431641 0.617188
3462.064230 -0.714844 -0.449219 0.633789
3462.099619 -0.598633 -0.385254 0.654785
3462.136091 -0.689941 -0.457031 0.557617
3462.172411 -0.716309 -0.430664 0.550781
3462.202789 -0.696777 -0.429688 0.567383
3462.244079 -0.678223 -0.431152 0.582520
3462.277233 -0.676270 -0.419922 0.605957
3462.342692 -0.659180 -0.419922 0.639160
3462.371345 -0.662109 -0.424316 0.646484
3462.446423 -0.680664 -0.447754 0.623047
3462.483503 -0.635254 -0.419434 0.618164
3462.549124 -0.631836 -0.436035 0.668457
3462.631112 -0.710449 -0.404785 0.693359
3462.692174 -0.714355 -0.450195 0.577148
3462.735325 -0.673340 -0.455566 0.553223
3462.771131 -0.733887 -0.484863 0.558594
3462.808108 -0.704590 -0.445801 0.566895
3462.870971 -0.656738 -0.397949 0.610352
3462.923790 -0.660645 -0.413086 0.638184
3462.949116 -0.678711 -0.436035 0.634766
3462.978676 -0.658691 -0.448242 0.635254
3463.046261 -0.665039 -0.444824 0.607422
3463.094157 -0.666992 -0.428711 0.641113
3463.113415 -0.678223 -0.449707 0.651855
3463.162711 -0.660645 -0.436035 0.659180
3463.238744 -0.646973 -0.463867 0.590332
3463.292161 -0.771973 -0.465820 0.589355
3463.348162 -0.741211 -0.465332 0.529785
3463.377384 -0.671875 -0.407227 0.517090
3463.441744 -0.658203 -0.406250 0.556152
3463.500273 -0.646484 -0.394531 0.629395
3463.554690 -0.672852 -0.428711 0.659668
3463.607610 -0.707031 -0.462891 0.655762
3463.646376 -0.664063 -0.417480 0.631348
3463.689715 -0.666992 -0.410645 0.628906
3463.759522 -0.641113 -0.429688 0.641113
3463.811240 -0.650391 -0.435547 0.635742
3463.865046 -0.678711 -0.507324 0.677246
3463.893486 -0.770020 -0.398438 0.645996
3463.985774 -0.744141 -0.469238 0.535156
3464.038222 -0.717773 -0.404297 0.528320
3464.075495 -0.679688 -0.387695 0.562012
3464.148652 -0.657715 -0.419434 0.642578
3464.254048 -0.690918 -0.417969 0.629883
3464.353135 -0.709961 -0.400879 0.612305
3464.398766 -0.685547 -0.372070 0.632324
3464.420059 -0.652832 -0.377441 0.687012
3464.460235 -0.693359 -0.388184 0.664063
3464.532638 -0.788574 -0.392578 0.612305
3464.599633 -0.700195 -0.439453 0.534180
3464.634011 -0.722656 -0.399902 0.527832
3464.671978 -0.694824 -0.410645 0.551270
3464.697617 -0.691406 -0.380371 0.585449
3464.747621 -0.681641 -0.412598 0.639648
3464.808072 -0.695313 -0.393066 0.653809
3464.848692 -0.664063 -0.408691 0.638184
3464.943836 -0.682129 -0.401367 0.660645
3464.969196 -0.642578 -0.405273 0.674805
3465.011449 -0.674805 -0.424316 0.652344
3465.073690 -0.614746 -0.325684 0.638672
3465.145390 -0.704590 -0.440430 0.547363
3465.214507 -0.680176 -0.395020 0.540039
3465.269715 -0.704590 -0.375000 0.621094
3465.338548 -0.674805 -0.430664 0.652832
3465.382763 -0.686523 -0.416504 0.636719
3465.416458 -0.680176 -0.399902 0.640625
3465.448545 -0.662598 -0.398926 0.636230
3465.486843 -0.643555 -0.385742 0.622070
3465.533390 -0.622070 -0.411133 0.658203
3465.579641 -0.666016 -0.398926 0.691406
3465.626289 -0.661133 -0.396484 0.651855
3465.653438 -0.685547 -0.325195 0.716309
3465.686213 -0.679688 -0.352539 0.690430
3465.748098 -0.741211 -0.437012 0.594727
3465.769169 -0.773438 -0.463379 0.528320
3465.805888 -0.752441 -0.422363 0.488770
3465.863842 -0.693359 -0.397461 0.529785
3465.887718 -0.681641 -0.383301 0.555176
3465.933484 -0.661133 -0.352539 0.598633
3465.979260 -0.669922 -0.424805 0.644531
3466.011738 -0.666016 -0.409180 0.646484
3466.037945 -0.677734 -0.405273 0.641113
3466.060134 -0.673340 -0.403320 0.651855
3466.084076 -0.669434 -0.416992 0.653320
3466.144943 -0.694336 -0.406738 0.663574
3466.172230 -0.700684 -0.447266 0.651367
3466.208932 -0.696289 -0.415527 0.670898
3466.246600 -0.652344 -0.405762 0.644531
3466.272480 -0.678711 -0.410156 0.625977
3466.296987 -0.709961 -0.400391 0.629883
3466.331658 -0.685059 -0.420410 0.646973
3466.366040 -0.560547 -0.348145 0.677246
3466.386611 -0.691895 -0.386719 0.666016
3466.466605 -0.676758 -0.460449 0.601074
3466.546498 -0.699707 -0.420410 0.589844
3466.568985 -0.718262 -0.426270 0.608887
3466.650732 -0.756348 -0.429199 0.585938
3466.728026 -0.745605 -0.439941 0.565918
3466.781205 -0.722168 -0.430664 0.508789
3466.844491 -0.745605 -0.421875 0.507324
3467.336225 -0.731445 -0.429688 0.500000
3467.441040 -0.723145 -0.435547 0.476074
3467.499051 -0.465332 -0.832031 0.641602
3467.531940 -0.437012 -0.863281 0.657227
3467.583192 -0.451660 -0.881348 0.635254
3467.657423 -0.338867 -0.850586 0.584473
3467.744605 -0.285645 -0.825195 0.564453
3467.773069 -0.294434 -0.832520 0.542480
3467.850033 -0.314941 -0.831543 0.565430
3467.932960 -0.312012 -0.820313 0.578613
3467.984783 -0.283691 -0.818359 0.566895
3468.044852 -0.256348 -0.796875 0.541016
3468.095690 -0.253418 -0.781250 0.528809
3468.136996 -0.248535 -0.779297 0.515625
3468.170407 -0.249023 -0.780273 0.523438
3468.249367 -0.258301 -0.788086 0.539063
3468.346870 -0.262207 -0.809082 0.561035
3468.410261 -0.247559 -0.841797 0.564941
3468.453532 -0.269043 -0.837402 0.558105
3468.511343 -0.237305 -0.839844 0.584473
3468.555753 -0.199707 -0.819336 0.540039
3468.623581 -0.220703 -0.839355 0.533203
3468.669998 -0.221680 -0.847168 0.541992
3468.748047 -0.203613 -0.866699 0.532227
3468.772178 -0.194824 -0.844238 0.539551
3468.848127 -0.166992 -0.859863 0.524902
3468.906537 -0.164063 -0.843262 0.538086
3468.980995 -0.129395 -0.833496 0.502441
3469.001967 -0.117676 -0.832520 0.485840
3469.023868 -0.091309 -0.832031 0.460938
3469.069109 -0.025391 -0.815918 0.368652
3469.131902 -0.014160 -0.815918 0.351074
3469.154256 -0.012695 -0.833496 0.377441
3469.204745 -0.005371 -0.854492 0.388184
3469.258397 0.024902 -0.885254 0.462891
3469.318274 0.010254 -0.913574 0.531250
3469.347446 0.050781 -0.997070 0.480957
3469.500702 0.271973 -0.875488 0.407227
3469.555304 0.551758 -0.878418 0.308594
3469.648246 0.531738 -0.831055 0.322266
3469.749588 0.551270 -0.843750 0.313477
3469.776628 0.626465 -0.805664 0.199219
3469.819379 0.620605 -0.787109 0.178223
3469.977931 0.617676 -0.786133 0.160645
3470.049676 0.588867 -0.742188 0.162598
