Ver. 2.0
CustomSeparator  
d_time double-matrix*1*3 #
3454.214599 -44.625000 -24.312500 -85.500000
3454.297586 -76.812500 -31.187500 -126.875000
3454.335865 -60.875000 -19.500000 -108.812500
3454.366242 -53.812500 -17.250000 -106.562500
3454.402791 -40.937500 -12.250000 -101.375000
3454.484248 -27.437500 -8.250000 -79.500000
3454.547831 -17.937500 -15.500000 -23.687500
3454.630039 -28.437500 -5.062500 1.062500
3454.697511 -11.625000 6.062500 10.937500
3454.734609 -0.937500 7.937500 19.687500
3454.801656 2.375000 6.187500 29.562500
3454.819824 34.937500 11.937500 68.062500
3454.863714 53.125000 17.875000 112.125000
3454.899197 57.875000 23.437500 126.062500
3454.943960 67.750000 21.625000 138.500000
3454.979693 65.375000 19.375000 143.812500
3455.009581 74.687500 18.750000 146.500000
3455.150778 77.187500 21.625000 148.937500
3455.214023 69.750000 36.312500 108.000000
3455.262547 59.312500 36.000000 90.937500
3455.340670 53.562500 29.625000 68.687500
3455.367189 47.937500 28.187500 60.500000
3455.412353 32.625000 14.437500 38.312500
3455.495490 24.750000 0.000000 31.500000
3455.549979 -4.187500 -0.812500 9.375000
3455.578565 -12.187500 -3.750000 2.500000
3455.609380 -7.687500 -4.812500 0.750000
3455.660106 -9.937500 -9.125000 -2.250000
3455.688135 -2.750000 -11.562500 -4.937500
3455.746414 1.562500 -1.812500 -1.500000
3455.774446 3.875000 1.187500 0.437500
3455.815539 3.500000 0.312500 3.375000
3455.862012 4.062500 -1.937500 3.125000
3455.946358 1.687500 -1.375000 5.437500
3456.017364 -4.500000 3.437500 6.875000
3456.053436 -2.375000 4.187500 5.937500
3456.115030 -3.500000 1.187500 2.062500
3456.170965 -3.750000 -3.187500 -0.750000
3456.215585 -4.250000 -5.500000 -2.062500
3456.278057 -3.937500 -1.125000 -0.875000
3456.310973 -5.250000 0.625000 -3.437500
3456.360814 -8.250000 -2.125000 -3.437500
3456.415217 -5.625000 -6.187500 -5.500000
3456.452417 -6.062500 -6.937500 -6.687500
3456.500378 -4.062500 -3.875000 -4.687500
3456.578328 -4.062500 -3.875000 -4.875000
