Ver. 2.0
CustomSeparator  
d_time double-matrix*1*3 #
3454.215073 -0.844372 0.497962 2.276042
3454.297873 -1.157841 0.040160 2.127936
3454.336339 -1.222243 -0.081211 2.101965
3454.366531 -1.240026 -0.117410 2.095101
3454.403265 -1.252957 -0.151397 2.087756
3454.484825 -1.266781 -0.201721 2.074269
3454.548306 -1.300712 -0.279650 2.068552
3454.630569 -1.327427 -0.280549 2.076848
3454.697823 -1.352858 -0.259666 2.077621
3454.735085 -1.346900 -0.243387 2.073033
3454.802086 -1.340390 -0.229417 2.071799
3454.820365 -1.307028 -0.155037 2.074817
3454.864152 -1.253354 -0.042227 2.087676
3454.899534 -1.214776 0.044875 2.102075
3454.944337 -1.167732 0.138751 2.121967
3454.980162 -1.143341 0.187200 2.136064
3455.009903 -1.087889 0.282981 2.169546
3455.151239 -1.055794 0.331232 2.188602
3455.214729 -0.790355 0.660597 2.355736
3455.262999 -0.724771 0.719651 2.393334
3455.341098 -0.671288 0.761688 2.422674
3455.367624 -0.647380 0.779141 2.435183
3455.412807 -0.591952 0.816361 2.466650
3455.495941 -0.555896 0.829731 2.491076
3455.550741 -0.482122 0.852268 2.548937
3455.579020 -0.486176 0.850340 2.553892
3455.609843 -0.487462 0.847646 2.555622
3455.660978 -0.489985 0.839197 2.559298
3455.688703 -0.494145 0.820814 2.561158
3455.746889 -0.492402 0.808134 2.561027
3455.774849 -0.492127 0.807166 2.560181
3455.816320 -0.490515 0.806895 2.560841
3455.862512 -0.485414 0.806461 2.562634
3455.946842 -0.475038 0.808446 2.571683
3456.017844 -0.473320 0.813066 2.578260
3456.053919 -0.473804 0.815257 2.579432
3456.116170 -0.474394 0.816955 2.581444
3456.171592 -0.479723 0.815119 2.580924
3456.216063 -0.482132 0.811501 2.581155
3456.278712 -0.488246 0.807788 2.580925
3456.311400 -0.491719 0.807530 2.579064
3456.375160 -0.505891 0.802859 2.574033
3456.417294 -0.513785 0.796413 2.570456
3456.452872 -0.520037 0.789554 2.567955
3456.500725 -0.530333 0.781927 2.562466
3456.579619 -0.536192 0.775129 2.558390
3456.600400 -0.536985 0.770734 2.556798
3456.643463 -0.537548 0.765312 2.553959
