timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
792458918140,-1,0,6,3,-8,-3,0,1
792458918140,1,4,15,4,-5,-6,-5,-4
792458919758,-3,-2,-16,-35,-15,-6,-8,-9
792458919758,2,1,-23,-22,-5,-4,-1,1
792458923391,1,-8,-26,-111,-5,4,9,4
792458923391,3,0,21,95,-13,5,11,7
792458924035,-12,4,11,10,51,-8,-22,-20
792458924035,1,-2,22,-4,-2,4,-1,-3
792458929822,1,-5,-20,-53,-15,-4,-3,0
792458929822,-4,1,-11,-10,9,-2,3,0
792458941124,1,1,22,49,-10,0,3,1
792458941124,0,-1,-13,-33,-9,-2,0,0
792458944809,3,-6,-7,-2,-8,4,9,6
792458944809,0,-3,-13,-52,-23,1,2,2
792458959670,3,16,51,113,35,5,10,7
792458959670,-18,0,-41,-74,15,-13,-34,-33
792458968297,2,1,32,31,-8,0,-5,-1
792458968297,4,-2,-14,-48,12,5,4,4
792458983489,6,-8,-34,-56,-21,5,13,13
792458983489,2,-2,17,23,-19,3,11,10
792458989894,-4,1,-11,47,10,-4,-5,-7
792458989894,-2,1,7,16,20,3,-7,-6
792459028435,3,16,91,108,18,9,17,12
792459028435,-5,26,35,48,20,-4,-13,-13
792459036455,-9,-4,-6,-28,-11,-14,-27,-21
792459036455,2,-4,-12,-28,-2,-1,-2,-1
792459037268,5,-20,-57,-115,-21,3,7,7
792459037268,10,-5,-6,55,9,13,30,23
792459038871,-11,22,34,6,-6,-10,-16,-15
792459038871,-9,-3,22,50,24,0,-13,-14
792459053928,5,0,-4,5,2,0,0,1
792459053928,4,-24,-43,-85,-16,-4,4,4
792459069899,9,-32,-59,-74,-39,17,45,37
792459069899,3,66,100,92,48,8,11,10
792459069914,-34,-1,-3,-97,11,-31,-78,-68
792459069914,7,-2,6,-33,-3,-4,-17,-6
792459087594,6,-29,-33,-91,-9,7,14,11
792459087594,15,0,-20,23,-8,18,44,39
792459088405,-14,9,10,80,18,-8,-14,-17
792459088405,-4,-26,12,-23,-2,-1,-9,-6
792459095900,10,-1,5,24,11,9,23,20
792459095900,0,13,1,8,-18,-8,-6,-8
792459118297,-8,22,3,1,-2,-12,-20,-19
792459118297,-2,-3,-8,-9,-9,-9,-16,-9
792459119972,3,-12,12,-22,4,2,1,2
792459119972,0,-13,-8,43,0,2,7,6
792459124550,5,-3,-8,16,-8,4,12,11
792459124550,-3,4,11,0,-3,1,2,-3
792459140955,1,-29,-32,8,8,3,2,1
792459140955,0,27,12,-40,-12,1,3,3
792459147091,-8,26,30,50,8,-6,-21,-18
792459147091,0,0,-2,-12,8,1,-2,-3
792459156163,-2,-2,-1,24,2,-6,-14,-8
792459156163,2,-47,-64,-103,-33,-8,1,2
792459169616,6,8,17,34,15,16,28,23
792459169616,-13,15,-1,27,-2,-13,-19,-19
792459178446,-6,17,8,8,6,-10,-22,-19
792459178446,-2,-25,-11,-38,-16,-2,-6,-6
792459184425,10,-14,-22,-64,-19,6,27,22
792459184425,-2,6,-11,40,11,2,4,1
792459199422,-5,11,18,30,8,-4,-10,-9
792459199422,-5,-5,-4,-10,-1,-4,-10,-6
792459206960,7,-6,-9,-7,-1,5,12,13
792459206960,-2,-3,-6,-11,-1,-1,1,-1
