timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
789101774799,1,6,5,14,25,1,2,2
789101774799,-2,-2,-11,-25,-41,-8,-1,-2
789101780424,0,-3,0,1,14,-1,0,-2
789101780424,1,-1,-4,-3,-15,-1,0,-1
789101781176,2,-1,1,16,8,-2,-3,-2
789101781176,2,-2,-3,16,31,3,-1,1
789101782794,1,1,3,-9,-37,-5,-3,2
789101782794,1,3,4,-4,5,0,2,1
789101795302,-4,-5,-13,-22,1,1,-3,-2
789101795302,-1,-1,1,2,7,1,1,-1
789101808534,-2,0,-2,5,-6,0,-1,0
789101808534,-1,2,7,-7,15,2,1,-1
789101808548,0,1,2,-9,-34,0,1,1
789101808548,-2,2,2,10,5,-3,-1,1
789101823263,0,-1,-1,5,11,-3,-3,0
789101823263,-3,-4,-7,-3,-3,-3,-4,-1
789101831927,2,6,15,-1,-13,6,2,2
789101831927,5,11,4,-3,30,7,7,5
789101846961,-4,-7,-17,2,-20,-4,-1,-4
789101846961,0,-4,-6,13,12,-6,-4,0
789101853353,-3,-6,3,2,17,-2,-7,-6
789101853353,4,19,39,13,-33,1,6,1
789101868276,3,4,-8,-2,11,5,6,1
789101868276,-3,-29,-50,-26,-12,-6,-11,-5
789101909938,0,12,22,13,2,4,4,0
789101909938,-1,-1,-6,-4,13,-2,-2,-1
789101910907,-3,-6,-4,4,-27,-10,-6,-2
789101910907,-1,2,3,-10,13,3,0,-3
789101913829,3,4,2,-4,-6,-2,1,3
789101913829,2,11,20,7,5,1,3,1
789101914628,-1,-3,-4,10,-5,-4,0,-1
789101914628,-2,-9,-13,-7,9,-3,-2,-1
789101922117,0,-4,-11,-7,-21,-2,-1,-1
789101922117,-1,-3,-5,-4,23,5,-2,-3
789101928064,-1,3,10,1,-1,6,2,-1
789101928064,-1,5,6,12,2,-3,1,-1
789101937154,-1,-2,2,9,3,-2,-3,-3
789101937154,-4,-8,-11,-3,-20,-4,-3,-2
789101950745,-2,-5,-12,-9,26,2,-1,-2
789101950745,-2,-2,2,-4,-28,-6,-1,-1
789101959579,-4,-4,-7,-10,-3,-4,-3,-4
789101959579,2,3,1,0,-5,-1,2,2
789101981918,2,4,6,8,11,7,1,0
789101981918,-1,4,7,-2,8,-1,1,0
789101983533,-1,-1,-6,-12,-26,-9,-3,0
789101983533,1,8,13,10,2,4,3,4
789101995734,0,0,-9,4,28,11,1,1
789101995734,2,-1,-8,-2,14,7,-1,2
789102012150,-2,-10,-12,-6,-23,-15,-3,-4
789102012150,-4,-6,3,3,-13,-12,-6,-5
789102034445,2,10,11,-7,-1,6,2,3
789102034445,1,0,0,2,-4,4,2,0
789102036152,-1,3,6,6,15,5,0,-1
789102036152,0,-2,-3,-4,-3,2,-1,0
789102041917,0,1,2,0,4,-3,4,0
789102041917,-4,-4,-1,1,-24,-6,-5,-5
789102043523,2,2,-4,-5,19,6,2,2
789102043523,-1,-4,-1,2,-9,-2,-2,1
789102055576,-1,2,2,-1,4,-2,0,-2
789102055576,-1,1,1,-1,-1,0,0,0
789102064616,-1,1,3,9,5,2,2,2
789102064616,-4,-2,2,1,3,2,-1,-2
789102086918,-1,0,-2,-4,-11,-3,-1,0
789102086918,-2,-3,-5,-1,-4,-2,-1,1
789102088598,0,-2,1,2,8,3,0,-2
789102088598,2,0,-1,4,2,1,-2,2
789102109474,-1,-5,-5,-7,-12,-8,-3,1
789102109474,1,-4,-1,1,-2,-3,0,1
789102111165,-2,-2,3,4,10,2,1,1
789102111165,2,5,5,4,1,1,3,1
789102115608,-2,0,8,8,-6,-5,-2,-4
789102115608,0,-4,-16,-20,-5,-5,-1,1
789102124552,0,0,-1,-3,4,2,0,2
789102124552,0,6,20,17,7,3,3,0
789102139442,0,-2,-4,-3,-8,-5,-2,-1
789102139442,-5,-15,-28,-18,-6,-9,-8,-4
789102141057,-1,-6,-12,-16,-3,-3,-4,-1
789102141057,0,5,-2,-4,2,0,1,-1
789102161932,-3,-3,8,9,10,5,1,-3
789102161932,3,12,16,9,-7,1,4,0
789102163583,0,-2,-10,-8,-17,-11,-4,0
789102163583,-3,-8,-14,-11,10,-5,-2,-1
789102175613,-3,-3,-7,-13,-6,0,-3,-3
789102175613,3,9,21,16,5,6,5,2
789102184574,-1,11,29,37,41,17,7,2
789102184574,0,-4,-13,-11,-20,-5,-1,0
789102199397,1,-7,-17,-17,-27,-12,-4,1
789102199397,1,-4,-7,3,14,1,-1,-1
789102201091,-3,-3,0,-14,-17,-5,-2,-2
789102201091,2,8,15,16,17,6,4,0
789102221992,0,-1,-7,-8,2,2,2,2
789102221992,-3,-2,1,-3,-9,-3,-4,-1
789102223569,-4,-2,6,7,6,1,-2,-2
789102223569,-1,-2,-8,-14,-6,-2,-2,0
789102235547,1,14,23,13,-2,0,4,1
789102235547,0,-9,-17,8,7,3,-1,-2
789102244588,-4,-17,-28,-18,-3,-1,-4,1
789102244588,0,-4,-14,-20,-12,-3,-3,0
789102259426,-2,1,20,18,3,0,-3,-2
789102259426,5,23,34,13,11,8,10,5
789102261057,-1,-1,-6,6,-1,2,0,1
789102261057,-5,-11,-13,-6,1,-2,0,-4
789102289420,-1,-1,-1,-3,-12,-7,-4,-1
789102289420,-5,-10,-9,5,5,-6,-5,-3
789102291049,5,-3,-6,-7,-3,-2,-3,-1
789102291049,5,3,1,2,3,5,1,3
789102295562,-4,-3,0,5,10,1,1,-3
789102295562,4,10,13,0,-4,6,7,2
789102304608,0,9,20,16,-2,0,0,-1
789102304608,-3,-2,0,0,8,-1,-1,-2
789102319463,0,-3,-1,4,6,3,0,1
789102319463,1,6,19,6,-11,-2,2,2
789102321146,-2,-2,-14,-12,3,3,0,0
789102321146,-3,-18,-38,-37,-31,-24,-6,-3
789102341908,2,6,15,0,21,6,0,2
789102341908,-2,2,1,1,7,8,-1,0
789102343536,-1,-15,-32,-30,-30,-13,-5,-2
789102343536,-3,-8,-5,12,0,-6,-7,-4
789102355577,3,-3,-9,-8,2,-3,-1,-2
789102355577,3,6,21,16,14,8,3,2
789102364626,1,15,32,30,14,7,5,-1
789102364626,0,4,8,-1,-11,3,2,1
789102379446,-2,-5,-5,7,0,0,-1,-3
789102379446,-1,2,8,5,-2,-2,1,-1
789102381142,-1,-1,-7,-12,-6,-3,1,1
789102381142,-4,-5,-7,-7,-6,-4,-7,-1
789102402111,0,5,2,-3,1,0,1,0
789102402111,-6,-16,-34,-22,-4,-9,-6,-4
789102403540,4,-5,-17,-11,0,-3,0,3
789102403540,2,5,18,8,7,4,2,-2
789102415616,-1,2,13,10,-5,-1,-2,-3
789102415616,2,11,32,36,5,4,1,-1
789102424575,1,0,-11,-3,17,6,3,3
789102424575,-7,-11,-24,-18,-16,-6,-6,-4
789102439401,-6,-10,-15,-13,-16,-11,-6,-4
789102439401,-3,-5,-9,-13,0,-6,-5,-1
789102441026,1,4,14,5,-1,0,0,-1
789102441026,1,5,11,13,15,10,4,2
789102461952,1,2,0,2,-4,0,-2,0
