timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
790334355033,0,1,-2,6,-3,-1,-1,0
790334355033,1,-1,-2,-9,-8,-1,-1,1
790334355677,-2,-5,-8,-41,0,-1,-2,-1
790334355677,2,5,-12,13,4,0,0,0
790334359091,-1,-5,-18,-53,-32,-5,1,1
790334359091,-1,-6,-11,-47,25,-1,-1,-2
790334359740,1,11,54,106,11,3,-1,0
790334359740,-4,3,9,-41,-11,-5,-2,-5
790334361346,5,10,14,72,24,7,2,5
790334361346,-7,-15,-34,-36,-26,-7,-4,-3
790334365223,0,-7,-15,-33,3,0,2,2
790334365223,6,11,13,-25,-11,5,2,2
790334380107,-3,-18,-23,17,8,-8,-1,-1
790334380107,-7,1,0,-5,9,3,1,0
790334386962,-3,11,18,-40,-17,-6,0,-4
790334386962,6,-3,7,31,-5,-1,2,3
790334397265,-5,-7,-14,9,13,2,-4,-3
790334397265,5,8,27,28,-5,-1,-1,-2
790334417652,2,-1,-13,-2,-6,-1,-1,-1
790334417652,-7,-9,-23,-47,-4,-5,-5,-3
790334419355,5,5,24,30,15,4,3,1
790334419355,-5,-5,-13,6,2,-3,-2,-2
790334471373,7,9,11,9,-23,-2,0,3
790334471373,5,-3,1,33,38,8,4,7
790334472067,-9,-3,-1,24,3,-4,-5,-6
790334472067,2,4,7,-27,-9,-2,1,2
790334472877,3,-2,-8,9,-3,-1,0,0
790334472877,-1,-4,-13,4,7,3,1,-2
790334473766,-6,-5,-14,-30,-9,-6,-3,-3
790334473766,-3,0,7,7,2,0,-1,-3
790334477551,-4,-1,-2,-8,7,0,1,-1
790334477551,-2,8,18,-3,-17,-6,-4,-3
790334483630,6,2,9,2,8,6,3,3
790334483630,0,-2,-11,14,-8,-4,-3,-2
790334492587,-3,-4,-4,-4,-2,-1,-1,0
790334492587,-10,-6,-9,-11,-6,-6,-5,-5
790334506968,1,2,5,-7,-5,0,-1,-1
790334506968,8,2,8,-26,-5,-1,-1,2
790334513737,9,0,-5,44,18,7,2,4
790334513737,-14,-3,-7,-13,-11,-8,-4,-8
790334537584,1,2,3,-9,-7,-2,2,1
790334537584,3,-1,1,-4,-5,0,0,-1
790334539110,-1,-1,-4,3,18,4,2,0
790334539110,-5,5,4,-19,-12,-3,-5,-3
790334551379,2,-3,-4,6,-1,-1,0,2
790334551379,-1,-3,4,-32,-1,0,0,2
790334576185,0,-4,-18,30,7,1,-2,-1
790334576185,-1,4,-6,5,-5,1,0,1
790334577092,-2,-1,6,-4,-6,-6,-2,-2
