timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
791249432408,-6,-3,-42,-20,7,-3,-6,-2
791249432408,1,10,5,-46,1,13,1,-5
791249433199,2,-4,14,38,6,-4,4,0
791249433199,-3,-11,-14,-6,-26,-4,-5,0
791249434115,-3,-3,5,-3,6,-4,-3,-3
791249434115,-1,-17,-16,-3,-69,2,0,-1
791249437696,-1,7,16,-1,81,-1,1,-3
791249437696,0,12,22,30,51,15,-3,-1
791249443948,-2,0,-47,-51,-41,-15,-9,1
791249443948,0,2,11,32,37,0,-1,-1
791249452766,2,-10,13,-11,-36,-5,1,-3
791249452766,0,-1,-7,12,-39,8,1,-3
791249460431,5,8,12,26,35,6,6,2
791249460431,4,1,-18,-21,3,-14,-3,3
791249475958,5,-5,23,11,4,7,4,2
791249475958,-6,-2,-33,6,7,-9,-2,-3
791249481470,-8,9,-22,-91,-7,28,4,-3
791249481470,3,10,62,116,-15,-15,5,-1
791249497142,-5,-23,-21,-5,31,-13,-10,3
791249497142,-13,-14,-65,-59,-21,-19,-16,-5
791249505259,10,16,47,60,-106,7,12,-1
791249505259,12,-13,28,74,109,13,10,6
791249512316,-31,15,-37,20,20,-4,-23,-16
791249512316,3,-19,27,-8,-32,-12,0,5
791249559810,9,6,-27,38,-3,-7,7,4
791249559810,-6,-27,-15,4,-5,-5,-9,-3
791249561398,-4,2,-4,-97,-31,-4,-4,-4
791249561398,1,2,-30,-101,-27,15,8,0
791249564488,9,1,84,78,12,2,12,2
791249564488,-10,20,-43,-9,32,-9,-14,-1
791249565291,1,32,22,-58,-18,7,0,-4
791249565291,0,-44,-4,92,20,4,8,0
791249571286,-11,-35,-27,56,52,-2,-11,-3
791249571286,-1,14,83,4,-11,-11,-1,1
791249596652,-6,1,-109,-57,-10,-15,-8,2
791249596652,5,33,66,-83,-32,-3,-3,0
791249597510,5,-12,-16,-76,-4,-1,11,-2
791249597510,0,-10,30,69,27,14,0,-3
791249601255,-3,-4,44,55,-3,-1,-1,-4
791249601255,1,-11,-39,0,19,-8,0,-1
791249608947,-5,21,11,31,-2,4,-9,0
791249608947,5,5,-17,-128,-44,-7,4,0
791249639957,15,2,14,127,-47,6,12,4
791249639957,-24,-8,-42,93,86,-11,-20,-9
791249640695,0,-9,20,-94,-21,-9,-9,3
791249640695,1,6,3,-36,-3,9,8,0
791249648436,1,-14,-17,-45,13,2,8,-2
791249648436,1,-4,-10,-16,-36,-13,-2,-1
791249649226,-1,13,-6,-21,11,13,-1,-2
791249649226,8,-12,1,105,32,-2,5,4
791249685795,-10,-1,30,44,15,-1,-10,-3
791249685795,1,7,31,-18,-26,-5,0,3
791249686732,-3,2,-40,-50,2,0,0,-1
791249686732,0,-6,-14,-11,-26,-6,6,-2
791249688224,1,-4,20,-23,22,-2,-2,0
791249688224,8,11,45,72,22,17,6,2
791249691290,-5,5,31,24,-10,-9,-7,-2
791249691290,-3,-10,-7,-18,6,2,-2,0
791249700192,0,4,-22,-4,16,-4,-3,3
791249700192,-1,3,-20,-107,-11,-1,0,-4
791249714598,5,-4,-75,34,16,4,6,1
791249714598,-2,-1,-27,-73,-6,0,-4,-2
791249729441,0,2,1,69,25,3,0,0
791249729441,2,-2,5,3,-1,0,1,1
791249730232,-3,2,5,-32,-6,-3,-1,-4
791249730232,-1,2,-12,-7,-15,-10,1,-2
791249743809,1,-7,25,24,12,11,3,2
791249743809,1,4,11,16,-10,3,0,1
791249751288,-1,3,13,6,-18,0,-4,1
791249751288,-5,-9,-15,-37,-13,0,-2,-4
791249760261,7,3,28,12,24,-3,3,3
791249760261,1,1,-21,42,-14,1,-5,3
791249774523,-3,-2,19,-11,-21,-1,-4,-2
791249774523,1,2,4,29,-5,2,0,-1
791249781411,-4,-9,-16,-65,-2,-4,-1,-3
791249781411,-2,-3,-9,-25,-31,-6,-1,-1
791249788946,0,3,8,51,23,3,0,-1
791249788946,0,5,10,34,-4,0,-1,0
791249803898,-3,-1,0,11,2,-1,-1,0
791249803898,2,-2,-8,-33,-7,-5,-2,2
791249820199,1,-3,-9,-35,-16,-2,2,-1
791249820199,2,3,4,28,2,1,2,0
791249821833,-1,-4,-9,-14,-6,-2,-1,1
791249821833,-3,-9,-13,-83,-1,-4,0,-4
791249826289,3,5,13,95,2,1,1,1
791249826289,-2,14,26,69,34,5,-1,2
791249841460,-1,-9,-13,-14,-12,-2,-4,0
791249841460,-1,3,3,11,5,-5,0,-2
791249848900,-1,-8,-19,-49,-10,-4,0,-1
791249848900,2,1,-2,-2,1,4,2,2
791249865243,1,5,12,15,-14,0,-2,-1
