timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
792375197460,0,-2,-7,4,-6,-5,-6,-4
792375197460,3,8,3,8,2,-2,-1,0
792375198282,-4,-2,-7,-19,-6,-4,-5,-2
792375198282,-1,-6,-12,-52,-18,0,3,3
792375199178,1,2,10,51,16,2,1,3
792375199178,-2,2,19,41,17,1,-6,-4
792375200039,-1,3,0,3,3,0,0,-3
792375200039,-3,-1,-6,-9,-3,-3,-6,-3
792375205136,-2,-6,-18,-32,-13,-3,2,0
792375205136,-1,0,20,1,-8,-6,-2,-2
792375227549,1,-1,-1,16,9,4,2,2
792375227549,-2,-3,-18,-27,-1,0,-1,-1
792375230396,-2,1,17,46,-1,-1,1,-2
792375230396,-1,-4,-5,-7,-1,-5,-8,-5
792375240964,-4,-3,-4,-8,-6,-1,4,0
792375240964,4,4,-17,6,-1,1,3,3
792375256720,-3,4,26,-36,2,1,-4,-3
792375256720,-2,1,1,17,2,0,-1,-1
792375258473,-2,-2,2,14,-6,-7,-11,-5
792375258473,-1,-1,-2,-4,0,0,0,-2
792375270354,1,3,-8,-14,-2,1,0,1
792375270354,2,-5,-20,-40,-12,1,1,2
792375286453,1,1,17,25,6,5,2,1
792375286453,-3,0,-4,14,10,0,0,2
792375287937,0,2,8,13,-2,-2,1,-2
792375287937,3,-3,-4,-14,-5,-3,-4,-4
792375347408,-1,2,4,0,6,2,0,1
792375347408,2,-1,16,51,5,-1,-5,-5
792375348191,0,1,0,20,9,-1,0,-1
792375348191,-1,-1,-2,-11,-6,-3,-3,-3
792375348900,-2,1,-4,-7,5,2,1,1
792375348900,0,-2,-17,-38,-10,-2,-1,0
792375349723,-1,1,12,17,-3,0,1,0
792375349723,-3,-4,-7,-12,-1,-2,-6,-3
792375354385,0,-4,-12,-7,-7,-3,2,0
792375354385,-1,4,15,-6,-8,-2,-1,-1
792375355262,-1,-3,-15,-32,0,0,0,-2
792375355262,0,2,10,35,10,4,2,0
792375361304,1,2,24,33,4,1,-4,-3
792375361304,1,-2,-10,17,6,-2,-3,-2
792375374742,-3,1,3,10,5,2,4,0
792375374742,-1,-1,0,-28,-3,-1,0,-2
792375383691,-2,-9,-30,-56,-13,-2,-1,1
792375383691,4,6,0,7,0,4,8,6
792375397973,1,9,30,39,6,-1,-3,-4
792375397973,1,0,-9,-4,-5,-5,-7,-3
792375404823,-1,-1,0,14,0,1,3,2
792375404823,-1,-1,-13,-37,-5,0,2,1
792375412131,1,-1,3,-2,-5,-3,-4,0
792375412131,-2,1,2,6,-5,-1,2,1
792375421174,-1,0,6,8,6,1,-1,-4
792375421174,-2,-5,-13,-36,-2,3,2,1
792375435245,1,3,18,44,7,0,1,-1
792375435245,2,-1,0,3,-1,-5,-6,-2
792375443678,0,-6,-9,3,7,-1,-1,1
792375443678,0,-1,-6,-11,-1,1,-2,-2
792375457968,0,1,-7,-6,-9,-2,-2,-4
792375457968,1,2,8,12,-1,2,1,2
792375473644,3,1,-4,-8,0,1,3,2
792375473644,0,-1,12,31,2,-6,-4,-2
792375474082,0,-4,-13,-26,2,-2,-1,-1
792375474082,-1,0,-1,-8,0,1,6,3
792375484980,-2,1,4,3,-5,-2,-2,-3
792375484980,0,-3,5,6,4,2,0,0
792375494675,1,-1,-6,-12,-5,0,-2,2
792375494675,1,1,-8,-3,1,1,3,0
792375503716,-3,-2,2,3,-2,-2,-3,-5
792375503716,-3,-1,1,8,1,-3,-5,-5
792375517961,3,-2,5,-4,-7,0,2,4
792375517961,-2,-1,-3,0,1,1,-1,-3
792375532951,3,-1,-3,-12,-4,-1,2,1
792375532951,-2,-3,-7,-1,0,0,1,1
792375533677,0,-3,-8,-9,-2,-5,-3,0
792375533677,-1,-1,-3,-2,1,-2,2,2
792375541186,-1,3,9,9,-2,-1,-1,-6
792375541186,-2,0,4,10,2,-3,-5,-1
792375563484,-2,-2,-9,-10,-2,-1,-2,-2
792375563484,0,0,6,2,-2,2,-1,-2
792375565099,0,-1,-2,3,-3,-1,-2,-2
792375565099,0,0,2,8,-1,-2,-3,-3
792375594227,-3,-1,-5,-13,-3,1,-2,-2
792375594227,4,-2,-4,0,2,6,4,1
792375595825,0,2,2,5,-2,-2,-1,2
792375595825,0,-2,0,-6,-3,-1,-2,-4
792375596598,0,-3,-4,-2,2,-3,-1,-3
792375596598,-1,-3,-2,2,1,0,2,0
792375601130,-1,3,2,3,0,-2,0,1
792375601130,-1,-1,1,-1,-1,1,0,2
792375623616,0,-2,-4,-4,-4,-5,-2,0
792375623616,-1,-2,0,4,1,-1,-2,-2
792375625119,-2,0,-2,0,1,0,0,-2
792375625119,-1,1,-1,1,0,1,1,-1
792375654199,3,-2,-4,0,2,3,-2,-2
792375654199,-2,-1,-1,-2,-1,1,0,0
792375655726,0,-1,1,1,-1,0,0,-3
792375655726,0,0,-7,2,1,2,7,3
792375656733,-1,-1,-3,-5,-3,-2,-2,-1
792375656733,0,1,1,-2,1,0,0,1
792375661270,-3,-3,-1,3,0,-1,-5,-3
792375661270,-2,0,2,-3,-3,-3,-7,-3
792375674804,1,-4,-10,-5,4,8,12,6
792375674804,1,0,-1,-1,-2,-1,-1,-1
792375683630,-1,1,0,-2,0,3,1,0
792375683630,-2,0,4,3,1,-4,-5,-5
792375697664,-1,-1,-3,-4,-3,-2,-2,0
792375697664,-4,-1,2,1,-2,-3,-4,-3
792375706283,2,-2,-3,-4,1,4,3,2
792375706283,-2,0,1,-1,-1,-2,-4,-2
792375712288,0,0,-1,0,-3,0,1,0
792375712288,0,0,-2,-1,1,-1,1,1
792375727240,-1,-4,1,3,-2,-4,-3,-3
792375727240,2,-1,-4,-5,2,-2,4,-1
792375734818,1,1,2,1,-2,-3,-6,-4
792375734818,0,0,1,-2,-3,2,-1,-1
792375743676,-1,0,-3,0,1,11,4,5
792375743676,-2,-6,-3,3,-1,4,1,-2
792375757944,2,2,2,-4,0,5,3,4
792375757944,-2,-2,-3,3,-3,0,-11,-7
792375764708,0,1,1,-12,-1,-3,-6,-1
792375764708,1,-14,-8,-22,-2,4,16,10
792375772292,-2,11,0,35,5,-8,2,1
792375772292,-10,5,-7,-71,-23,-30,-33,-22
792375788697,0,-5,5,-12,3,-7,-3,0
792375788697,4,1,12,26,13,3,2,2
792375794665,4,-5,8,30,12,5,-1,-1
792375794665,4,8,21,17,10,2,1,0
792375803594,0,-3,-8,-17,-13,-4,-3,-2
792375803594,-4,-4,-24,-40,-17,-4,4,2
792375817983,-3,-7,-27,-69,-16,3,14,8
792375817983,-3,-3,-7,51,4,5,18,12
792375825509,0,2,-9,27,9,-3,-7,-5
792375825509,4,7,58,88,31,-8,-23,-14
792375840360,-2,4,-2,33,7,-8,-20,-9
792375840360,-6,-10,7,-19,-10,8,16,8
792375847143,1,1,10,5,-13,-5,3,3
792375847143,0,4,-18,-14,0,0,-8,-7
792375854627,-1,-1,-18,-25,-4,0,-4,-3
792375854627,2,-6,-16,-23,-1,6,11,4
792375869787,-1,2,7,6,2,6,8,3
792375869787,-3,2,-1,-11,-6,0,-3,-2
792375877806,1,-3,2,4,1,-2,-5,-3
792375877806,-2,-7,-34,-42,-2,1,3,3
792375884790,-2,-3,-5,33,3,-1,4,-1
792375884790,-1,9,51,-12,-14,-9,-14,-9
792375892268,-1,0,-20,-29,-11,0,2,-1
792375892268,4,4,24,60,20,2,-1,1
792375915401,1,-1,-9,0,10,-4,-15,-7
792375915401,-1,-4,-26,4,-6,2,8,6
792375916265,-5,-5,6,28,-1,2,6,1
792375916265,2,1,15,75,1,-4,-5,-5
792375923636,2,-1,-10,-14,-5,-9,-10,-8
792375923636,0,-5,-3,-30,-1,1,1,2
792375937922,0,2,18,3,-8,1,1,-1
792375937922,0,1,-10,-26,5,1,0,1
792375944674,-2,-6,-18,57,2,3,2,1
792375944674,-3,0,-10,-101,-20,1,6,4
792375952280,-1,0,23,83,6,-6,-6,-4
792375952280,3,0,-18,-57,-7,-3,-4,-1
792375967261,-3,-5,-12,-17,-3,0,4,3
792375967261,-2,-1,1,97,0,-2,-1,-4
792375974661,3,5,49,23,46,4,0,0
792375974661,4,6,35,34,14,-6,-19,-13
792375983661,-1,-3,-5,20,-12,-3,2,0
792375983661,-3,-6,-59,-107,-20,-1,1,0
792375997818,-4,-8,-5,28,-4,2,12,9
792375997818,2,-2,-11,-35,-24,-1,-1,-2
792376004922,-1,6,11,3,15,1,1,-3
792376004922,1,3,15,125,15,3,6,4
792376012209,4,12,55,14,15,-3,-10,-8
792376012209,-1,-4,-35,-58,4,5,6,3
792376027220,-2,-6,-16,-51,-12,-1,2,-2
792376027220,3,-7,-27,-56,-5,-1,3,0
792376034766,-2,-2,-18,-96,-21,-3,-4,-6
792376034766,-5,3,16,56,0,3,5,2
792376043667,6,9,34,-13,0,-1,-4,-1
792376043667,3,3,25,40,0,-3,-7,-4
792376058035,-2,-3,-1,38,13,-2,-4,0
792376058035,-4,-11,-19,4,10,-2,-1,5
792376064649,-31,-12,-6,-18,-8,0,-2,1
792376064649,-9,-3,-15,-51,-7,1,1,-3
792376072213,24,-1,4,-26,-16,1,-1,-2
792376072213,24,1,7,20,0,5,0,-9
792376087205,22,19,-2,29,10,-1,1,2
792376087205,10,17,13,11,2,-1,-4,1
792376094609,-5,5,-26,-23,-4,0,-2,7
792376094609,8,0,7,-4,2,-1,-1,17
792376103723,-11,-9,18,0,-3,-2,-1,-5
792376103723,-19,-1,17,8,2,-5,-4,-6
792376117876,-23,-11,-21,25,-4,-5,-3,-9
792376117876,-15,-8,-4,-19,3,-2,4,-5
792376124793,-6,1,21,11,-2,-2,0,-4
792376124793,-1,-2,-15,-8,1,-4,-6,-4
792376132312,-1,-6,-12,-26,-8,-2,-1,-6
792376132312,-3,1,-7,0,-5,0,2,-4
792376147113,5,1,-8,-20,-4,-5,4,-2
792376147113,4,-5,9,19,5,-2,-6,-6
792376154806,4,-2,-12,-17,-6,2,3,4
792376154806,-4,-2,-3,-2,-4,-2,-1,-3
792376169790,3,6,8,12,5,4,1,2
792376169790,1,0,2,8,2,1,-3,1
792376177780,-6,-5,-9,-17,-5,1,1,0
792376177780,-1,4,6,3,-3,-2,-2,-1
792376184819,2,-1,4,-1,1,0,-3,0
792376184819,1,-1,-4,3,4,1,0,3
792376192175,0,2,-7,-12,-7,1,0,2
792376192175,-3,1,6,9,2,2,2,-1
792376207089,3,-1,-6,-15,-2,-1,-3,1
792376207089,0,-5,-6,13,1,0,2,1
792376214790,1,-1,-2,-7,-2,-3,-2,1
792376214790,0,-1,-5,-28,-6,-5,-4,-1
792376223693,2,-3,8,15,5,1,1,2
792376223693,3,0,-7,-19,1,3,10,7
792376246692,0,4,8,20,1,3,2,1
792376246692,-4,1,-1,-4,-2,-8,-12,-8
792376248307,-1,-2,-5,-13,-3,-1,-3,-1
792376248307,1,-3,-2,3,0,0,4,-1
792376252127,-2,-1,-3,-6,0,1,1,1
792376252127,-3,1,12,9,-2,-2,-2,0
792376267293,1,4,0,1,1,1,-4,-4
792376267293,0,5,0,-6,-7,-6,-12,-7
792376274781,0,-5,-16,-22,-7,-1,2,-1
792376274781,1,-2,3,11,1,-1,3,3
792376283620,-2,-3,-2,-9,0,-2,2,0
792376283620,0,0,1,3,1,1,1,2
792376297186,-2,1,0,-2,0,-2,-3,-5
792376297186,-1,0,3,4,-1,1,-1,0
792376306166,-1,-3,-4,-4,0,1,-4,-4
