timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
788751251611,-2,-6,-11,-18,-6,-6,-7,1
788751251611,3,6,10,15,10,5,3,5
788751256995,-6,-10,-9,-1,10,-2,-4,-4
788751256995,2,0,-1,-6,-22,0,0,-1
788751259137,-1,3,8,10,10,0,0,3
788751259137,-2,-2,-4,-4,-4,-3,-4,-3
788751259952,1,3,7,7,-1,1,0,-2
788751259952,-4,-2,-2,6,1,0,-1,-6
788751262013,0,-6,-12,-13,-3,-3,-2,0
788751262013,0,-4,-12,-20,12,-1,0,2
788751273489,1,3,-2,-10,-32,-1,2,0
788751273489,-6,-6,-3,-2,9,-2,-2,-6
788751286605,-1,-2,3,0,-4,-1,-1,1
788751286605,4,9,16,25,-4,2,3,3
788751292223,-6,-7,2,45,30,2,-4,-5
788751292223,3,8,-4,-11,-7,6,7,3
788751300730,-4,-8,-18,-81,-7,-5,-4,-4
788751300730,5,-7,-14,-15,-19,-9,-6,3
788751322939,2,3,4,3,-3,-5,-2,1
788751322939,0,-2,6,38,10,2,-3,-1
788751323728,-2,3,4,15,9,3,2,-3
788751323728,0,-1,-4,-16,2,2,2,-3
788751369522,0,10,10,-11,1,4,3,-3
788751369522,-3,-3,-2,-4,6,-2,-6,-1
788751371111,-1,0,0,-2,-22,-2,-1,0
788751371111,-4,-4,-1,18,26,-1,-1,-3
788751371970,-3,0,6,32,-5,3,0,1
788751371970,4,8,1,-39,-13,7,9,2
788751374325,-5,-12,-23,-40,6,-5,-10,-4
788751374325,0,-8,-8,-19,-19,-12,-6,0
788751381835,3,4,10,51,4,-4,0,1
788751381835,4,4,-3,-52,-2,3,6,2
788751390896,3,5,3,-8,-12,3,1,0
788751390896,-1,-5,-13,-27,6,0,-5,0
788751396985,1,-7,-11,-15,19,-1,-3,2
788751396985,-1,-10,0,40,-29,-8,-6,0
788751413355,1,14,24,34,24,4,10,-2
788751413355,-5,6,11,26,-1,3,5,-3
788751419489,-3,1,2,-20,-6,4,0,-5
788751419489,-1,-4,-8,-2,10,0,-5,-2
788751442507,-1,-2,8,37,27,3,0,2
788751442507,0,6,16,40,-9,6,6,-1
788751443279,0,-2,-18,-52,-20,-4,3,1
788751443279,0,-9,-22,-84,-32,-9,-7,-1
788751457660,4,-7,-8,5,22,-7,-10,-1
788751457660,5,-1,1,21,-3,0,-4,1
788751458329,-2,-1,6,19,-1,-2,-3,-2
788751458329,2,12,22,42,27,7,4,0
788751479754,-3,-1,-6,-17,-31,-2,2,-1
788751479754,0,-1,-6,-15,11,0,-2,0
788751487691,-3,-4,3,6,-2,-1,-1,-3
788751487691,-1,3,5,24,8,1,3,1
788751502471,-3,-4,-1,-8,0,-1,-2,-3
788751502471,-3,-6,-5,1,-2,0,0,-3
788751503269,2,3,4,-2,-1,-2,1,3
788751503269,1,8,5,1,2,3,3,0
788751517511,-5,-4,-6,-4,5,-1,-5,-1
788751517511,2,-2,-8,-42,-38,-8,-2,2
788751518284,1,-3,-6,6,12,-1,-4,2
788751518284,0,-7,0,45,24,-2,-5,1
788751539987,0,2,0,-28,-28,-2,3,-1
788751539987,-1,-4,-5,-21,-1,-3,0,-3
788751540784,2,5,5,2,15,3,3,3
788751540784,-1,-3,-1,1,-14,1,-1,-4
788751562535,0,2,2,23,25,3,5,1
788751562535,-2,2,4,5,-9,1,-1,-1
788751563320,-6,-12,-16,-26,-8,-7,-5,-3
788751563320,2,-4,-2,16,-9,-4,-2,3
788751577615,1,6,7,17,7,5,3,2
788751577615,1,6,5,6,18,9,4,-1
788751578391,-1,-2,-4,-30,-10,-4,-2,-3
788751578391,0,-2,-6,-2,-18,-6,0,-1
788751599995,2,-4,-7,-15,1,-5,-3,2
788751599995,1,-2,-4,-2,-15,-3,-4,3
788751600769,0,0,-1,4,17,6,-5,0
788751600769,-1,-2,6,13,18,2,-3,-1
788751622493,-1,-3,-1,-1,-21,-5,-1,-2
788751622493,1,6,5,2,7,1,3,0
788751623254,-2,-4,1,7,0,-2,-1,-1
788751623254,0,0,-2,-11,2,0,0,0
788751637551,1,8,10,11,-9,2,2,2
788751637551,-2,-2,-3,-10,8,-4,-2,-1
788751638271,4,3,4,9,-8,0,3,1
788751638271,-4,-6,-8,0,5,-2,-4,-3
788751659967,4,1,0,-3,3,0,1,2
788751659967,-1,0,3,7,11,2,2,-1
788751660769,0,2,5,30,-7,1,4,2
788751660769,-4,2,8,13,21,4,1,-5
788751682536,-3,-7,-19,-47,-29,-7,-6,-3
788751682536,0,-3,-7,-40,-22,-6,-4,0
788751683340,2,-10,-11,20,25,-6,-5,1
788751683340,2,-1,-5,-44,-35,-6,0,2
788751697474,-3,-4,-2,20,14,-1,-2,-2
788751697474,2,2,9,22,10,4,2,1
788751698258,0,7,4,-1,-6,1,2,-2
788751698258,-1,1,6,20,19,4,1,-1
788751720014,-3,-1,-1,-3,-6,0,-2,0
788751720014,-2,1,-3,0,-2,0,0,-2
788751720832,-3,-3,2,0,-3,-1,-1,-2
788751720832,3,3,-1,-4,-3,0,2,0
788751742512,-3,3,5,6,16,4,0,-1
788751742512,-5,-10,-5,25,-4,-1,-4,-4
788751743335,4,16,9,-7,-8,5,7,3
788751743335,-6,-8,-4,-3,23,-4,-7,-5
788751757522,1,-9,-10,1,-43,-6,-5,-2
788751757522,1,-4,-6,-40,5,-5,1,0
788751758312,-3,-12,-15,-3,-10,-8,-9,-1
788751758312,4,3,0,-12,-15,1,3,3
788751780012,-2,-2,0,14,37,0,-2,-3
788751780012,1,2,8,19,-21,2,1,2
788751780803,-1,1,2,-15,23,2,0,-1
788751780803,-1,3,-2,-17,-16,2,-1,-1
788751802512,0,-1,4,22,-1,-1,-2,-1
788751802512,-1,-1,-2,-4,9,-1,-1,0
788751803299,3,7,6,9,-5,1,23,2
788751803299,-5,-4,-1,-3,-8,-2,-3,-1
788751817498,-1,-2,-4,-12,21,3,-4,1
788751817498,-2,5,9,23,-5,1,-9,-3
788751818311,0,-1,0,-3,-34,-7,-12,0
788751818311,4,-1,-7,-25,4,-4,0,1
788751840003,3,1,1,-1,8,2,3,1
788751840003,0,-5,-3,14,22,0,3,1
788751840796,-2,1,9,25,4,6,1,-2
788751840796,-1,2,1,-5,-24,-2,3,1
788751862466,3,1,-10,-37,-14,-2,0,0
788751862466,1,-8,-15,-8,30,-7,-6,-1
788751863276,-2,-6,-5,-10,-36,-8,-3,0
788751863276,-1,2,6,24,18,1,3,0
788751876823,-1,4,16,42,10,5,4,-2
788751876823,-3,2,3,-5,-8,3,3,-1
788751884998,3,6,-2,-56,12,8,3,2
788751884998,-4,-16,-9,38,-2,-7,-12,-4
788751899990,8,19,14,-6,16,6,11,7
788751899990,-3,-2,-3,-15,-60,-6,-1,-2
788751900787,-2,-7,-7,4,29,-2,-8,-2
788751900787,-2,-7,-5,-3,12,2,-4,-3
788751922513,-1,-2,3,26,-5,-1,-2,-2
788751922513,4,0,-6,-18,-10,-4,0,0
788751923268,-1,0,-2,-11,-11,-3,0,1
788751923268,-1,-4,-4,1,-3,-1,-5,-1
788751936845,-3,-5,-4,1,27,1,-2,-2
788751936845,1,3,8,17,-13,1,3,4
788751945042,-3,-9,-13,-40,-11,-5,-5,-6
788751945042,10,20,15,2,-3,3,10,7
788751968185,-8,-7,2,32,-3,-8,-8,-4
788751968185,1,4,1,-14,1,4,3,0
788751968982,0,4,5,1,20,5,5,0
788751968982,-1,-4,-7,-2,-16,-2,-4,-1
788751982516,-1,-1,-4,-15,-7,-2,-3,1
788751982516,0,-4,-2,16,13,-1,-3,-1
788751983327,0,4,5,12,1,-2,-3,0
788751983327,-2,-3,-4,-4,6,-1,0,1
788751996876,5,6,3,1,-8,5,5,8
788751996876,-4,-3,-2,13,17,2,15,-5
788752005047,5,2,-5,-28,-30,0,9,1
788752005047,-2,-2,3,29,56,0,-7,-7
788752020006,-4,-16,-17,-22,-70,-12,-19,-5
788752020006,4,10,5,-48,-6,1,-8,4
788752020787,3,-1,4,25,25,-1,-8,1
