timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
790148116356,0,2,4,3,2,0,-1,0
790148116356,0,-1,-3,-8,-3,-2,0,1
790148124807,0,-3,-3,1,2,2,0,0
790148124807,-4,-5,-4,-3,-3,-4,-1,-1
790148128459,-1,-2,0,2,0,-1,0,-1
790148128459,1,2,9,7,0,-1,1,0
790148129887,0,0,2,4,-3,-1,-1,-1
790148129887,5,0,-1,1,2,3,2,1
790148139311,-3,-2,-3,-6,-1,-1,-2,0
790148139311,-1,0,-2,-6,-1,-1,0,-2
790148144835,-1,0,0,0,-1,0,-1,0
790148144835,-1,1,-3,1,-1,0,-2,-1
790148156022,-3,-1,-4,-3,-2,-2,-2,0
790148156022,2,0,3,1,1,1,1,1
790148169955,1,2,3,1,0,2,-1,0
790148169955,-1,-3,-6,-3,-1,-1,-1,-2
790148174786,-1,-1,0,-1,0,-3,-1,-1
790148174786,-3,-1,-3,-2,-2,-2,-3,-1
790148189937,0,1,3,0,-1,0,1,-1
790148189937,0,0,1,0,4,3,0,1
790148199343,1,-1,-3,-1,-1,1,1,-1
790148199343,0,-1,-2,1,0,0,-2,-1
790148213542,0,-1,0,-2,1,-3,1,-2
790148213542,-2,-2,0,-2,-3,-4,0,0
790148253103,-1,-1,-2,2,-4,-4,-2,-2
790148253103,-2,-1,-3,-1,0,-1,0,0
790148254105,1,-1,0,0,-1,1,0,0
790148254105,-1,0,1,1,-3,-2,0,-1
790148254722,-1,-2,0,-4,0,3,0,1
790148254722,-1,-1,-4,3,0,-1,-1,-3
790148257983,-3,-3,-5,0,1,-3,-1,-2
790148257983,1,0,0,-3,-1,3,2,1
790148264734,0,1,1,-2,0,-2,-1,-2
790148264734,2,3,3,3,2,0,0,2
790148272347,-3,-2,-2,-5,-1,0,-2,-2
790148272347,-1,-1,1,2,1,-5,-1,-1
790148281082,-1,-3,-3,-6,-2,1,1,1
790148281082,1,0,0,-1,-3,1,1,1
790148294616,2,1,-1,2,2,0,-1,1
790148294616,-1,0,2,2,-2,-3,-3,-1
790148303586,-2,0,-5,-2,0,0,-1,0
790148303586,-2,-1,1,-3,-1,-3,-2,-4
790148326246,1,0,1,0,0,1,2,1
790148326246,-3,-2,-2,0,-3,-2,0,-2
790148327616,-1,1,0,3,0,-3,-1,-1
790148327616,-4,-3,-4,-1,-3,0,-3,-1
790148348560,-1,2,5,2,-1,-1,1,-1
790148348560,-2,-4,-10,-4,2,-2,-3,-2
790148350049,2,2,3,1,-2,-2,0,1
790148350049,0,0,-1,-1,0,0,1,0
790148363556,0,1,0,0,-2,-1,-1,-2
790148363556,1,1,1,-1,1,0,2,1
790148365106,-1,0,-3,-1,0,-2,-2,-3
790148365106,0,-1,2,-1,-1,-3,-2,-1
790148386575,-3,-2,-3,-1,-2,-4,-2,-1
790148386575,-1,2,1,0,1,4,-1,-2
790148388061,2,1,0,2,2,2,1,1
790148388061,-1,-3,-5,-3,-2,-2,1,0
790148399671,-4,1,2,-2,-2,-3,-3,-3
790148399671,2,-1,-3,-1,-1,1,3,0
790148408594,0,-2,-2,0,2,0,0,-1
790148408594,0,0,7,0,1,-2,-3,-2
790148423625,0,-3,-3,-2,-2,0,0,2
790148423625,-4,1,1,-4,-3,-1,-3,-2
790148425056,1,1,6,5,1,-1,-2,-1
790148425056,1,2,-2,0,0,1,2,0
790148446140,-2,-4,-1,-4,-2,-2,-3,-2
790148446140,0,0,1,1,0,-1,-1,-1
790148447605,0,2,1,2,1,-1,-1,0
790148447605,-3,0,-3,-2,-1,-2,-2,-3
790148459687,2,-2,-3,0,-1,-1,2,0
790148459687,1,-1,1,-1,-1,0,-1,-1
790148468599,1,1,1,-2,-1,2,-1,-1
790148468599,0,-1,0,-1,-3,0,-1,1
790148483624,-1,-1,-2,0,0,2,1,1
790148483624,-4,-6,-6,-2,-2,-5,-3,0
790148485082,-3,-2,1,-2,-2,-4,0,-2
790148485082,1,0,1,-1,1,0,1,1
790148506040,1,2,0,1,0,2,0,0
790148506040,-1,-1,3,1,2,2,0,-1
790148507623,-1,-2,-7,3,-2,-4,0,0
790148507623,-5,-3,-3,-3,-2,-3,-2,0
790148519634,4,0,0,-2,-1,2,1,1
790148519634,-1,0,1,2,1,1,1,-1
790148528635,0,-1,1,0,0,0,0,-2
790148528635,-1,-2,-1,0,-3,-1,-3,-3
790148551029,2,4,6,1,-1,-2,0,0
790148551029,-2,-1,-7,-2,0,-1,-2,0
790148552557,-6,-6,-4,-6,-3,-2,-2,-2
790148552557,0,1,0,3,2,1,1,0
790148566094,1,0,2,-3,0,2,1,1
790148566094,1,3,1,1,0,-2,-2,-1
790148567557,-2,-1,-4,-2,-1,-2,-2,0
790148567557,-1,0,3,0,-1,-1,1,-1
790148588611,-2,0,-4,0,0,-2,0,-1
790148588611,2,-2,-3,0,3,0,1,2
