timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
791063222940,1,-5,11,-22,-4,1,1,1
791063222940,-1,-3,-8,19,8,1,2,-1
791063223781,-4,-2,4,-5,-3,-7,-7,-4
791063223781,0,10,-5,-14,1,1,1,-1
791063224566,-1,9,-3,10,-1,-3,-4,-1
791063224566,2,10,-6,-9,-6,-2,-1,-1
791063225996,0,4,-11,3,0,4,1,3
791063225996,-2,3,-6,-8,-1,-3,-3,0
791063233021,2,-10,-14,-3,1,-2,-1,2
791063233021,-2,-12,3,-3,1,2,-2,0
791063240080,-3,-19,-12,1,-4,4,0,-3
791063240080,4,-9,-3,8,6,-6,0,2
791063251784,-3,-6,-11,2,-1,-2,0,-3
791063251784,0,5,0,1,-1,-3,-1,0
791063263025,2,12,13,-5,1,2,1,-1
791063263025,-2,-2,1,2,-5,0,-1,0
791063274126,-5,4,4,1,-1,-3,-6,-3
791063274126,-1,3,7,0,-2,-4,-1,-1
791063277707,-1,2,-3,-1,-1,3,3,-1
791063277707,0,6,0,0,-2,-4,-4,-4
791063292841,-2,4,7,1,-3,-2,3,0
791063292841,0,4,5,-1,-1,-2,-3,-1
791063310072,-1,5,3,2,3,5,5,-1
791063310072,3,6,7,10,5,-4,-6,0
791063316712,0,1,-9,-5,-2,0,0,-4
791063316712,1,0,-8,-6,-3,1,-2,0
791063323901,-1,2,3,-1,-4,-6,-3,-4
791063323901,0,1,-1,-9,-1,4,1,0
791063363561,1,-2,-3,2,-1,-4,1,1
791063363561,-5,3,-1,-2,-4,-6,-3,0
791063369580,1,7,2,0,1,3,2,2
791063369580,-2,2,2,1,-1,-2,-2,-2
791063370211,0,1,-2,-2,0,3,-1,-3
791063370211,2,4,2,3,0,2,1,1
791063371188,-1,1,-3,-2,0,-2,-3,-4
791063371188,-2,-1,-7,-6,0,-9,-5,-2
791063374943,-5,-2,1,1,-2,2,-1,-4
791063374943,0,-1,6,1,0,1,2,-1
791063382597,3,1,-1,-3,2,1,1,0
791063382597,1,-3,-3,1,-1,0,-1,1
791063397516,-3,3,-2,-2,-1,-4,-6,0
791063397516,0,1,0,-1,0,3,0,-2
791063405642,-1,-5,-2,1,0,-1,1,2
791063405642,-1,-1,1,-2,1,-1,2,0
791063412467,1,1,3,-1,0,-1,-2,-1
791063412467,0,-2,-6,1,2,4,0,-3
791063420113,-1,-1,0,0,-2,-1,-4,-1
791063420113,0,0,0,1,0,-2,-2,1
791063435175,2,-2,0,2,4,1,4,1
791063435175,-3,-2,0,-1,-2,-2,-1,0
791063451498,0,-3,-3,3,0,1,0,-3
791063451498,-1,3,1,-5,-5,-3,-3,2
791063452943,0,-1,2,-1,0,2,0,-2
791063452943,-1,-2,-9,-6,-1,1,-1,-3
791063465788,-3,-2,-2,-7,-4,-6,-3,1
791063465788,0,0,1,8,3,3,0,2
791063472400,0,-2,2,-2,-1,-4,1,0
791063472400,0,3,2,1,1,0,0,0
791063488240,-3,-3,-2,13,-5,3,1,-1
791063488240,-1,-4,-5,-22,2,0,-1,-3
791063494968,2,2,6,11,5,-4,-3,1
791063494968,-3,0,2,4,1,-4,-3,-1
791063502491,3,1,3,-7,-3,2,1,1
791063502491,1,0,0,-15,1,-5,2,0
791063511402,-4,-5,-7,71,-21,-2,1,-2
791063511402,2,1,-1,-53,-26,-10,0,3
791063526842,-2,2,-5,4,71,20,1,-2
791063526842,0,-2,10,30,9,-7,-5,-3
791063550308,-3,2,6,30,-11,14,1,-3
791063550308,5,1,0,-6,40,5,-1,2
791063551227,-3,-3,-9,33,-116,-9,0,-3
791063551227,-3,-3,-7,-10,64,-7,3,-1
791063563206,4,7,11,-8,-45,2,-2,3
791063563206,-4,-5,0,32,94,8,-5,-3
791063563907,1,-2,2,8,-9,-3,-4,0
791063563907,-2,0,-7,-69,-18,4,1,-1
791063571525,0,-2,-23,-19,-35,-9,4,4
791063571525,1,0,10,8,-29,-7,0,-1
791063585758,0,-2,-1,-5,27,-6,-2,1
791063585758,3,2,-8,15,-64,-4,1,-3
791063592457,2,-2,-3,-24,35,7,4,-2
791063592457,1,-1,6,-45,-24,-11,-1,2
791063608098,-3,0,11,33,48,-5,-6,-2
791063608098,-3,-3,6,58,-30,-3,-8,-3
791063632541,-3,-3,-8,8,48,12,3,-4
791063632541,0,1,-15,-8,-58,-3,6,-1
791063633213,-1,-1,8,-13,-11,-1,6,-1
791063633213,3,1,11,-35,46,11,-1,4
791063638892,-3,0,15,8,37,-11,-14,-3
791063638892,-4,0,-4,25,-7,0,0,-1
791063645724,-1,0,-31,-42,-23,4,5,-1
791063645724,0,-1,14,-15,-61,-2,0,2
791063652555,1,3,8,9,54,-6,-7,1
791063652555,0,-2,-8,29,14,3,-1,2
791063668260,-1,1,-9,-38,-26,-2,0,-2
791063668260,0,-2,-6,2,3,10,6,1
791063683157,4,0,6,-5,-30,-5,-4,1
791063683157,0,-3,0,7,19,-7,-7,-3
791063683900,0,-2,7,-14,-1,4,0,1
791063683900,-2,-1,-18,-68,-1,5,5,-2
791063697399,-1,-4,0,16,-12,-3,0,1
791063697399,0,4,9,30,8,-11,-9,2
791063705589,-1,0,-3,12,12,3,0,1
791063705589,-3,-1,-10,-66,5,-2,-2,-1
791063712487,-2,-3,10,79,-21,3,7,0
791063712487,0,-1,-5,-67,-11,0,0,-2
791063736445,1,0,12,81,-4,1,3,1
791063736445,2,6,12,82,40,-9,-5,0
791063737950,-4,-5,-25,-63,-19,-5,-2,1
791063737950,2,-2,-5,32,1,9,3,3
791063742435,-1,1,22,-29,0,-7,-6,-4
791063742435,-3,-2,-6,-4,-11,4,0,-3
791063751439,0,1,-10,27,3,-1,2,1
791063751439,-3,-2,-13,-33,-8,6,2,-2
791063765839,10,4,9,-16,5,2,1,9
791063765839,-2,-2,-13,-35,2,-9,-4,-5
791063779990,-2,-1,17,15,11,-8,-7,-2
791063779990,-4,-3,19,6,-17,-7,-5,-6
791063788117,-4,-2,-8,5,3,-1,0,-2
791063788117,2,-1,-7,-60,-10,5,2,2
791063795015,1,0,-23,-66,-16,4,5,-2
791063795015,0,2,7,33,2,6,1,-3
791063802441,0,0,9,63,26,-9,-4,-4
791063802441,-3,-2,11,48,12,-3,-3,0
791063827719,0,-2,-10,-55,-15,-5,-1,2
791063827719,0,-1,-4,-25,-14,5,2,4
791063828675,0,-2,-7,-4,3,-6,-2,-1
791063828675,1,0,14,41,-1,-1,-1,1
791063839952,1,2,4,6,6,-3,0,-2
791063839952,-1,-1,1,-12,6,0,-3,-3
791063848340,-2,-8,-12,-29,-12,-2,-1,-2
791063848340,-2,-2,-10,18,-8,-1,-1,-3
791063855069,0,0,12,-4,9,0,-3,-1
791063855069,0,0,-1,3,-3,3,1,-2
791063862534,1,6,-1,-14,3,-4,-2,1
791063862534,-1,-3,-6,36,1,-5,-3,1
791063877517,-3,-1,-1,-25,-3,-5,-2,-3
791063877517,-2,-2,-2,4,-2,2,2,0
791063885605,-3,-2,4,-2,0,-1,-1,-4
791063885605,4,6,11,17,1,6,5,-1
791063892418,2,-2,-10,-11,4,5,5,3
791063892418,-3,-4,-6,-2,-4,-6,-5,-2
791063908061,-8,-4,-9,-13,0,-5,-1,1
791063908061,-3,-2,4,6,-9,-8,-6,-6
791063915050,0,9,8,4,1,8,2,-3
791063915050,3,-6,3,9,7,1,5,8
791063922417,-2,0,-11,-20,-7,-7,-9,-5
791063922417,1,0,-3,8,-1,2,-2,-1
791063937534,-1,1,6,-3,1,-4,-4,2
791063937534,-3,5,0,-1,-6,-2,-2,-4
791063945704,2,0,8,3,-1,-4,0,-3
791063945704,2,-3,-11,0,7,1,3,5
791063952447,-8,-7,0,-4,-4,-12,-9,-4
791063952447,3,0,-3,3,5,2,3,2
791063968270,1,1,4,-8,-6,1,-4,0
791063968270,-1,-5,-4,12,2,4,2,-1
791063974876,-1,1,3,-4,-1,4,3,-1
791063974876,-3,-3,-8,-5,-2,-1,-2,0
791063982441,-2,-7,-12,0,4,1,2,0
791063982441,-4,0,8,-3,4,-1,-1,2
791063997429,0,3,-2,-3,-1,3,3,-3
791063997429,-1,3,4,4,-3,0,1,0
791064013947,-2,2,10,10,4,9,2,-3
791064013947,1,-1,-7,-11,-5,-3,-2,5
791064015531,-2,-2,-9,-6,-3,-7,-9,-1
791064015531,-2,4,7,9,-2,4,0,-6
791064028065,-3,-4,-2,-13,-1,-1,2,0
791064028065,4,2,8,10,2,-1,-1,-2
791064035059,1,2,-3,-2,1,0,0,1
791064035059,4,0,-2,1,1,-2,-3,0
791064042562,-2,0,4,0,0,5,2,1
791064042562,-4,-1,-5,1,-3,-1,0,-3
791064058923,0,-5,-7,-6,-2,-9,-3,0
791064058923,-1,0,2,1,0,-1,1,1
791064073819,4,0,4,-2,0,1,1,1
791064073819,2,8,4,7,5,3,2,-2
791064075390,2,1,6,7,-1,0,0,-3
791064075390,-5,-9,-15,-7,-2,-7,-3,-1
791064088561,2,1,2,-3,-3,-6,-8,1
791064088561,0,-1,2,1,-2,-3,-3,-2
791064094960,0,-1,3,5,4,5,5,-1
791064094960,4,10,6,2,2,3,5,2
791064102505,-1,-3,-12,-9,-3,-1,0,-1
791064102505,-4,-8,-7,-1,-1,-10,-6,-1
791064117454,1,1,6,2,-4,-5,-1,0
791064117454,2,-7,-1,-1,-3,6,3,0
791064141035,0,6,3,-17,-3,6,3,0
791064141035,0,-2,1,-2,0,-4,-1,0
791064150315,-2,0,3,2,-101,-18,-1,-4
791064150315,2,3,2,-11,101,14,-1,-1
791064151227,2,0,-7,36,-8,3,-6,-2
791064151227,-6,-5,6,19,6,18,0,-4
791064155006,5,-1,-7,-30,-17,-18,1,4
791064155006,-3,-1,-3,40,-128,-5,2,-1
791064162397,1,-3,6,-70,108,21,4,2
791064162397,3,1,3,64,-78,-12,-6,1
791064195850,-9,-3,-1,-33,-13,21,0,-7
791064195850,2,-2,-2,-6,45,-11,-6,2
791064196826,-6,-2,3,88,-35,-12,-3,-6
791064196826,-3,-1,-6,-47,-5,3,5,-1
791064200107,2,-1,-2,11,28,1,-3,7
791064200107,-3,3,3,22,-48,4,7,-2
791064208035,1,-2,-7,57,32,4,4,0
791064208035,1,2,8,23,0,4,-1,-1
791064214965,3,-3,-15,-35,38,-3,-4,-2
791064214965,-3,-2,5,30,-39,-14,-7,-6
791064238923,2,-1,3,30,29,-7,0,2
791064238923,-1,3,-9,-53,-22,-2,-3,-2
791064240408,-4,-2,7,-1,26,3,-1,-1
791064240408,-2,-3,-9,-40,28,5,-4,0
791064245643,1,4,9,17,-70,-13,-1,0
791064245643,0,-1,-9,-27,38,7,1,2
791064252368,-2,1,17,21,5,13,5,0
791064252368,-2,-1,-7,29,4,-8,-4,-2
791064284579,0,-3,-12,-65,-60,-13,-6,0
791064284579,-3,0,-3,29,44,3,3,-3
791064286096,-1,0,7,25,2,0,-1,-2
791064286096,4,6,8,24,2,-10,-2,1
791064286871,-3,-3,-24,-47,-9,7,6,0
791064286871,1,-2,4,-9,-2,-5,-4,1
791064297451,-2,-5,-27,-4,-12,4,3,-5
791064297451,2,2,33,-5,17,5,4,2
791064305562,-3,1,6,-10,17,-12,-11,-2
791064305562,1,-5,-6,7,-34,-3,0,0
791064336953,-1,2,6,8,31,8,2,0
791064336953,-2,-4,-49,-72,-9,-5,-1,-1
791064337691,-1,4,40,-16,-22,7,5,0
791064337691,1,5,21,20,17,-14,-7,-2
791064339307,-2,-5,-12,30,12,-3,-5,-2
791064339307,1,-1,-6,-29,-4,5,2,1
791064350747,0,-2,-39,-88,-22,0,-1,-4
791064350747,1,1,2,-16,-1,6,10,5
791064357360,0,5,28,42,14,-9,-7,-1
791064357360,-3,-5,-13,-8,2,3,-1,2
791064397657,4,3,10,22,7,-7,2,2
791064397657,-2,-2,-23,-38,-3,-5,-6,-3
791064399258,1,-1,-1,-60,-23,7,6,3
791064399258,-1,2,6,18,22,-2,-1,1
791064400125,-4,-3,7,27,-4,-1,-2,-2
791064400125,3,1,-6,54,12,-2,-4,-1
791064411744,-3,0,2,-30,-5,-1,-2,-3
791064411744,-1,-2,-11,-34,-18,1,1,-1
791064412525,0,-3,9,10,7,-2,0,3
791064412525,1,3,3,20,7,-6,-5,-3
791064426412,0,-1,-8,-14,-5,-3,-1,2
791064426412,-4,0,14,-24,-9,1,-1,-2
791064441269,-2,1,2,8,2,4,0,-1
791064441269,-1,1,8,20,12,-4,-1,-3
791064442831,3,-1,-23,-24,-3,4,3,4
791064442831,1,4,13,29,-1,-2,0,1
791064447435,-3,-3,-1,-31,-12,-9,-7,0
791064447435,-4,-1,-3,-3,-3,-1,2,-4
791064456422,2,6,5,41,13,0,0,2
791064456422,-1,-5,1,-10,-1,3,1,-3
791064470604,1,-3,-13,8,1,1,1,1
791064470604,0,-1,6,-20,-10,-2,0,-2
791064477540,-4,-2,-5,-1,-8,-7,-5,-2
791064477540,1,5,4,12,5,1,-2,0
791064493967,2,4,4,18,4,6,4,-2
791064493967,1,-6,-10,-21,-6,0,2,2
791064495432,0,-2,-3,3,-2,-3,-3,0
791064495432,-2,-4,5,14,9,-2,-1,-1
791064507401,0,1,1,9,2,-4,-4,-1
791064507401,-2,3,-2,-14,-3,1,1,0
791064516368,0,-4,0,8,-1,1,2,-1
791064516368,-1,5,6,10,-4,-6,-5,-6
791064530802,0,-3,-2,-7,2,1,3,0
791064530802,-1,-7,-2,-3,-1,-3,-2,1
791064537495,1,4,-5,4,-4,1,0,-1
791064537495,0,-9,-3,-7,3,0,-1,1
791064553889,1,5,1,6,1,0,-2,-3
791064553889,6,4,-1,-2,5,4,8,8
791064555392,-7,-4,4,6,-6,-6,-6,-5
791064555392,0,-1,-4,-6,-3,0,-1,3
791064567562,0,1,0,3,0,-2,1,1
791064567562,-1,-5,3,2,2,0,-4,-2
791064576397,-1,3,-7,1,-7,-3,-1,-5
791064576397,4,0,3,6,6,7,5,1
791064590568,0,-2,-6,-1,0,-6,-4,-2
791064590568,-3,-5,-6,-4,-1,3,0,-4
791064597558,0,-1,7,-1,-1,-2,-1,1
791064597558,-3,1,-3,5,0,-2,-3,-3
791064613790,-2,-2,-6,-3,-2,-1,1,1
791064613790,4,5,6,1,5,3,3,2
791064615376,1,-1,4,3,2,0,0,-3
