timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
792731616714,5,1,-1,0,6,3,5,6
792731616714,0,-3,-3,-4,0,1,-1,0
792731617539,-1,-2,-4,-9,-1,-1,-1,-1
792731617539,-2,-3,-6,-1,-2,-2,-2,-3
792731618322,0,-3,-29,-44,-23,-5,-2,-2
792731618322,6,-22,2,-34,0,-3,2,4
792731621868,8,21,34,53,-19,-5,7,10
792731621868,-20,18,26,49,54,6,-10,-14
792731628468,-10,7,25,61,44,10,-11,-13
792731628468,1,0,-15,-7,-8,1,-2,-2
792731637155,3,-21,-71,-119,-27,-8,-2,0
792731637155,14,-8,-8,-4,-29,-3,13,15
792731652339,2,9,45,54,-1,2,5,6
792731652339,-10,1,10,29,18,-4,-7,-8
792731659471,0,-3,10,17,8,7,3,1
792731659471,1,-1,-21,-45,-15,-7,-3,-2
792731667308,0,-8,-27,-42,-5,-3,1,1
792731667308,1,1,-9,-3,-6,0,2,1
792731674565,-2,3,23,18,8,0,-2,0
792731674565,-1,-3,-13,-8,8,2,-1,-1
792731689530,-4,-6,9,-12,-17,-6,-4,-2
792731689530,5,5,-27,-30,-7,0,3,3
792731695955,0,-7,-40,-5,-43,-4,2,-1
792731695955,0,14,78,110,47,11,1,2
792731748500,6,-6,-17,-15,-14,-3,2,3
792731748500,4,-6,-35,-61,-19,0,4,3
792731758262,3,-7,-22,-110,-29,-3,5,3
792731758262,-1,-4,-23,65,-3,0,2,4
792731759039,1,6,40,21,5,1,1,2
792731759039,-2,1,10,17,13,0,-1,-3
792731760695,1,-2,-16,-26,-10,-4,-3,0
792731760695,-1,-17,-91,-128,-26,-3,-1,0
792731764432,-2,-17,-117,-92,-17,-3,3,2
792731764432,3,20,97,104,25,4,2,3
792731766050,1,20,35,100,39,4,-3,-2
792731766050,-7,-9,-23,-69,-20,-8,-11,-13
792731770585,-3,0,30,108,19,1,-1,-2
792731770585,-6,-9,-84,-128,-25,-4,-4,-3
792731787096,-5,-7,-13,48,-1,-6,-4,-3
792731787096,10,7,12,-78,-13,1,6,7
792731793078,2,-13,-64,-35,-39,-10,-2,1
792731793078,3,8,107,110,42,9,5,4
792731802039,0,10,35,-7,41,9,-2,-3
792731802039,-19,-12,-25,-35,-1,-12,-17,-21
792731815632,5,0,-10,-128,-10,4,1,3
792731815632,4,-3,-45,-68,-50,-14,0,4
792731832734,5,-5,-3,48,-5,3,9,11
792731832734,-4,5,0,7,-14,1,1,2
792731833554,-5,6,71,64,61,5,-4,-5
792731833554,1,1,-30,-94,19,12,0,-3
792731847098,-3,-17,-81,-124,-110,-67,-11,-3
792731847098,10,5,20,127,44,13,14,13
792731853086,2,17,98,110,88,63,13,5
792731853086,-13,-2,27,60,8,14,-8,-15
792731862039,-5,-6,-23,-96,-47,-11,-11,-11
792731862039,6,-5,-18,-7,-106,-32,0,2
792731884375,3,-2,-48,-108,-96,-25,-1,4
792731884375,2,-10,-30,-49,15,12,7,7
792731885989,-1,4,60,107,66,15,5,0
792731885989,-2,10,44,13,44,2,-5,-1
792731890561,-1,-1,-24,-57,-31,1,-4,-4
792731890561,-7,-18,-86,-84,-34,-28,-6,-5
792731915253,1,-7,-38,12,-60,-5,3,2
792731915253,7,11,115,104,92,20,9,8
792731916047,-4,10,43,2,55,15,-2,-8
792731916047,-9,-8,-23,-42,-64,-28,-12,-12
792731928052,4,6,6,41,-8,11,5,3
792731928052,1,-2,-32,-45,47,8,3,1
792731935551,-3,-5,-8,107,-24,-17,-5,-3
792731935551,4,-2,2,-43,-47,-5,2,3
792731944640,-2,11,43,92,72,13,4,3
792731944640,-8,2,15,-48,-3,2,-11,-12
792731950590,-4,-10,-58,-102,-31,-17,-6,-6
792731950590,6,1,-2,86,9,2,5,7
792731967072,4,-3,-10,-87,-19,6,2,4
792731967072,-2,3,55,127,0,-4,0,0
792731973092,-2,4,-2,-15,21,-2,-3,-5
792731973092,3,-3,-12,-21,-11,0,0,0
792731988246,0,-2,1,-42,9,8,3,1
792731988246,-1,-4,-52,-54,-14,-5,-1,0
792731995617,0,-1,4,-4,-27,-7,2,1
792731995617,1,5,42,66,30,7,0,0
792732004530,-4,0,-13,3,23,3,-6,-6
792732004530,1,-3,-26,-55,-37,-4,-2,0
792732010558,1,0,11,29,-10,-7,0,4
792732010558,1,4,8,20,24,3,0,1
792732027074,0,0,-6,-17,3,4,0,1
792732027074,0,-4,-9,-8,-19,-1,0,0
792732033072,-1,1,16,7,13,-1,1,-1
792732033072,-4,-3,-5,22,12,0,-2,-3
792732056241,-4,-5,-9,-22,-12,-3,-5,-4
792732056241,2,4,10,6,-1,3,4,2
792732057008,1,2,-1,18,14,-3,0,2
792732057008,-1,1,-2,-6,-4,0,-2,0
792732064647,-3,-4,2,2,-5,1,-3,-4
792732064647,3,0,-4,-9,-1,0,1,0
792732086910,-1,-2,-6,-4,-3,-4,2,4
792732086910,-7,-3,1,4,-5,-4,-8,-11
792732088506,4,3,12,9,17,5,4,5
792732088506,-3,-3,-10,-4,-4,-2,-3,-5
792732093029,0,-3,-8,-7,-7,-2,-2,-1
792732093029,5,5,10,14,10,4,3,6
792732110231,1,2,0,-1,5,1,2,-1
792732110231,-2,-2,-4,-7,-7,0,-1,0
792732115587,0,-3,-2,2,-6,-2,1,-1
792732115587,2,2,4,4,8,-3,-4,-2
792732124557,-5,-6,-11,-16,-13,-1,-4,-4
792732124557,1,1,-1,0,5,3,2,3
792732130559,0,-1,3,0,-1,-3,-3,-3
792732130559,-1,0,3,16,1,1,-1,-1
792732147075,1,0,-7,-26,-4,-1,0,0
792732147075,-2,0,6,31,1,-1,0,-1
792732161260,-4,-2,0,-5,0,-1,-2,-2
792732161260,3,2,2,2,0,1,3,4
792732168038,-1,-1,0,-3,-5,-2,-1,-3
792732168038,-2,-2,-6,-17,-4,-2,-3,-2
792732175584,0,1,-2,-3,-1,0,-1,-3
792732175584,-3,-2,0,2,1,0,0,-2
792732184542,-1,-3,0,2,0,0,-1,-1
792732184542,-1,0,-4,-8,-2,0,2,-2
792732190504,3,2,6,13,6,3,2,4
792732190504,-2,-2,-2,-3,-4,-1,-1,-3
792732215080,-2,-2,-4,2,1,0,-2,-3
792732215080,-4,-4,-6,-25,-1,-4,-8,-6
792732221213,5,0,-19,-31,-14,0,5,6
792732221213,5,8,20,29,3,2,5,6
792732228062,-4,-2,21,58,10,-2,-4,-7
792732228062,0,-9,-9,-11,6,1,-1,-1
792732235546,2,0,-6,5,-6,-2,1,0
792732235546,-1,19,2,-22,-6,-3,1,2
792732244544,-14,1,-9,-31,-11,-11,-13,-13
792732244544,5,1,6,12,4,5,3,4
792732250591,-3,-12,-10,-21,-1,-1,-4,-4
792732250591,7,-9,-11,-16,-1,5,5,5
792732267023,0,2,8,-3,-4,-1,4,3
792732267023,-4,2,7,25,7,-1,1,-1
792732273089,0,0,3,6,1,-1,-1,1
792732273089,-4,-4,-3,6,0,-5,-5,-3
792732296382,2,-1,-5,-7,3,1,3,2
792732296382,-3,-3,-7,-13,-3,17,4,-1
792732297027,-3,6,8,13,4,-15,-9,-2
792732297027,-2,-15,-65,-70,-23,-9,-11,-5
792732304556,4,-26,-21,34,0,6,6,5
792732304556,26,42,92,66,21,12,22,22
792732318049,-21,-4,-42,-25,-14,3,-5,-17
792732318049,-3,19,73,122,18,-6,1,1
792732327072,-22,-20,-56,-92,-22,-26,-27,-23
792732327072,-4,-10,-7,81,9,-4,-9,-7
792732333066,28,26,127,121,74,36,28,29
792732333066,-10,-11,-28,-72,13,-4,-10,-14
792732365188,3,6,-9,-44,-7,0,1,1
792732365188,-3,-10,-60,-128,-36,-12,-5,-4
792732365866,0,-12,-68,-102,-37,-12,-6,-4
792732365866,2,-3,2,2,-3,4,9,7
792732367512,6,11,13,17,10,11,10,10
792732367512,-9,-6,-20,-22,-8,-7,-8,-6
792732378026,-2,-5,-3,16,-8,-5,-3,-2
792732378026,6,5,10,23,4,5,3,1
792732387036,-2,2,17,11,3,0,-2,-2
792732387036,0,-3,-10,-7,-3,-3,0,2
792732393016,-9,-2,7,20,-1,-5,-8,-8
792732393016,-4,-4,2,-4,2,0,-1,-3
792732408052,8,8,5,4,3,4,4,6
792732408052,3,2,9,9,2,0,4,6
792732415601,-3,-1,-4,-7,0,-3,-8,-8
792732415601,-4,-7,-12,-18,-9,0,-5,-4
792732424546,4,4,8,10,0,4,1,4
792732424546,-5,-1,1,1,1,-3,-4,-4
792732438037,2,0,-13,-31,-7,-4,2,2
792732438037,1,-5,-23,-62,-23,-2,1,0
792732447075,1,-1,4,28,-18,-2,2,1
792732447075,0,6,34,75,33,2,0,0
792732453039,-5,1,19,28,20,-2,-6,-6
792732453039,-1,-2,-5,2,9,0,-2,-2
792732468065,-1,-9,-49,-105,-38,-12,-1,-2
792732468065,6,-2,10,35,-27,0,4,6
