timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
789202092837,-4,-1,5,8,7,2,-2,-5
789202092837,2,2,3,9,10,4,3,2
789202093715,0,1,2,5,-2,-1,2,2
789202093715,-1,-2,-1,-2,-10,-3,-2,-1
789202094532,3,3,3,0,-3,-2,-1,1
789202094532,-3,-2,-1,-3,-1,-1,-4,-4
789202096411,-2,1,1,2,5,3,-2,-3
789202096411,1,6,10,3,3,1,2,2
789202098285,-5,5,11,6,-2,-1,-1,-3
789202098285,4,-4,-14,-7,-1,2,6,3
789202110761,-1,-9,-16,-11,-5,-4,-5,-2
789202110761,2,5,8,7,4,2,2,1
789202118762,-1,0,-2,2,1,0,-2,-1
789202118762,0,2,7,11,4,0,2,0
789202125096,0,0,-7,-11,-7,-4,-4,-1
789202125096,-7,-9,-9,-14,-5,-7,-8,-6
789202141587,-3,0,-2,-6,1,1,0,-4
789202141587,3,-2,-11,-2,2,1,-1,1
789202157430,-1,-1,6,6,-5,0,1,1
789202157430,3,2,9,27,20,4,2,-1
789202165211,5,6,4,-17,-10,0,4,5
789202165211,-4,3,5,-18,-25,-3,-2,-5
789202203344,0,-2,-3,9,-6,0,-2,-1
789202203344,0,-6,-7,2,6,-5,-3,1
789202208716,-3,-2,3,6,-4,0,-2,-1
789202208716,4,12,21,5,-3,5,3,4
789202209497,-4,-2,-6,2,10,5,3,-2
789202209497,2,-10,-31,-13,1,-1,-3,2
789202210297,-10,-21,-20,-12,-4,-9,-10,-8
789202210297,-1,-2,-1,4,11,-3,-1,-1
789202233412,1,8,14,-4,-6,0,2,2
789202233412,3,11,14,9,-9,1,2,0
789202234212,3,3,0,0,-6,-3,0,2
789202234212,-2,-5,-7,-24,-10,-3,-5,-2
789202245556,1,1,0,4,11,1,0,2
789202245556,-1,-2,2,7,15,4,1,0
789202246340,3,10,19,18,18,8,4,3
789202246340,-1,2,3,15,-32,-3,3,-1
789202253859,-4,-12,-26,-20,4,-15,-6,-6
789202253859,-4,-3,-3,1,1,2,0,1
789202276253,1,3,3,-8,-7,0,4,1
789202276253,5,6,3,-9,4,3,2,4
789202277859,1,-6,-7,-15,-15,0,-2,0
789202277859,-11,-17,-15,4,23,-7,-10,-10
789202298702,2,-2,1,12,-9,0,-1,1
789202298702,0,3,5,7,16,1,2,-2
789202300391,4,10,11,-5,-17,2,5,3
789202300391,1,9,14,4,0,5,4,0
789202314412,-2,-3,1,11,10,-2,-1,-3
789202314412,-1,-7,-14,-5,-6,-4,-4,-1
789202316055,-6,-10,-6,8,0,-3,-6,-3
789202316055,1,4,3,-8,-12,-3,2,0
789202336702,2,3,-1,-16,-25,-1,1,3
789202336702,-1,-3,-1,5,18,3,-1,-1
789202338349,1,-1,-1,-1,19,-1,-3,-4
789202338349,0,-3,-5,-6,-13,-1,-1,-2
789202349916,-1,-1,-4,-2,-1,-1,1,-1
789202349916,-1,-2,-2,3,-1,-2,0,-1
789202358877,2,6,13,17,-8,4,3,2
789202358877,-1,2,6,12,15,0,0,-1
789202373917,-2,-4,-13,-50,-24,-5,-1,-2
789202373917,-5,-8,-10,-3,5,-4,-5,-4
789202375568,1,1,5,12,5,2,-2,0
789202375568,2,2,5,6,-6,-1,1,1
789202396692,0,1,1,20,21,2,0,0
789202396692,-2,0,-1,-8,-11,-1,-1,-3
789202398350,-2,-2,-3,2,-3,-3,-1,-1
789202398350,3,7,7,-3,-9,4,4,4
789202409846,0,0,-3,-3,2,2,-1,0
789202409846,-5,-7,-11,-12,6,-4,-5,-1
789202426366,-5,-5,-7,-6,-26,-12,-6,-4
789202426366,-2,0,0,-1,16,0,2,-2
789202433730,0,0,0,-2,-12,-1,-1,0
789202433730,6,8,12,11,17,9,7,8
789202435341,0,1,4,8,7,2,2,0
789202435341,-5,-7,-3,-1,-3,-7,-6,-4
789202456262,-1,-3,-8,-5,-8,-3,-3,-2
789202456262,0,1,9,25,20,7,1,-3
789202457828,0,5,8,-13,-11,3,2,3
789202457828,-2,-8,-28,-35,-33,-14,-7,-3
789202477798,-9,-25,-32,-14,2,-11,-12,-9
789202477798,8,8,7,7,-1,3,2,6
789202503341,5,11,19,3,31,9,3,4
789202503341,3,10,12,15,-5,7,5,3
789202504167,-1,-5,-5,0,-11,-7,-1,-2
789202504167,-8,-6,-10,-5,-25,-8,-5,-5
789202507382,2,-1,-4,-13,18,7,3,2
789202507382,-2,-6,-9,-14,1,1,-4,-3
789202523713,4,8,11,13,15,2,2,2
789202523713,-3,-2,14,80,7,-3,0,-1
789202525370,3,12,16,-14,1,13,9,5
789202525370,0,1,-3,-27,-9,6,3,1
789202529873,-5,-4,-6,-8,-5,-9,-5,-3
789202529873,1,-6,-15,-32,-19,-11,-5,-2
789202546372,-1,-8,-14,14,-1,-7,-5,-3
789202546372,-5,-7,-4,13,17,1,-4,-4
789202553731,4,10,11,5,-4,9,4,5
789202553731,-3,0,4,-4,6,1,-1,-2
789202555361,-4,-6,-4,16,-6,-6,-7,-3
789202555361,4,1,0,-14,-11,-1,4,0
789202576224,0,6,6,-1,18,6,3,1
789202576224,-5,-6,-11,-16,-7,-4,-4,-6
789202577831,2,4,3,2,-1,1,2,2
789202577831,-2,1,8,11,1,-6,-4,-1
789202589882,1,3,7,10,-16,1,1,1
789202589882,3,0,4,3,31,11,2,3
789202615031,-6,-3,5,4,-21,-5,-3,-4
789202615031,-2,-6,-7,8,2,-9,-3,-3
789202615839,-4,-9,-19,-27,-20,-2,-5,-3
789202615839,-1,-8,-17,-30,-6,-5,-2,-1
789202619889,2,5,6,23,16,4,3,2
789202619889,3,7,11,-5,0,5,2,4
789202636262,-1,-2,-2,0,19,0,-3,-1
789202636262,-11,-15,-15,-8,-27,-13,-12,-11
789202637881,4,1,-3,-6,0,-3,2,1
789202637881,2,5,11,12,-1,6,2,1
789202649867,7,14,24,29,21,13,8,4
789202649867,1,4,6,4,3,4,3,1
789202658866,-9,-12,-14,-10,-8,-6,-7,-6
789202658866,-1,-2,-7,-11,-13,-3,-2,-1
789202673705,6,8,8,3,11,4,3,4
789202673705,0,2,3,-6,1,-1,1,2
789202675347,-1,-7,-16,-6,-6,-6,-4,-1
789202675347,-5,-6,1,15,-2,-8,-10,-6
789202696254,-5,-6,-2,-9,-4,-7,-3,-2
789202696254,16,19,8,0,22,12,14,9
789202697822,0,-2,-4,2,-21,0,-2,1
789202697822,1,-3,-6,-18,12,1,-3,1
789202709857,-10,-16,-20,1,-11,-10,-9,-8
789202709857,0,2,7,-3,-13,-3,-2,0
789202724910,0,-1,0,-2,16,0,0,-2
789202724910,7,8,8,6,1,7,7,6
789202733775,2,10,22,20,8,8,6,2
789202733775,-4,-3,-2,0,-6,-2,-3,-2
789202735375,-3,-7,-12,-9,4,-3,-4,-5
789202735375,-6,-9,-9,-2,-14,-8,-6,-5
789202756208,3,-2,-8,-13,-12,-2,3,0
789202756208,5,6,9,2,9,5,3,4
789202757857,-4,1,6,3,5,2,-2,-4
789202757857,5,9,11,14,4,5,5,4
789202769912,3,0,-7,-3,-4,-3,-1,2
789202769912,-2,-6,-9,-4,-13,-5,-5,-2
789202778858,-4,-3,-3,-2,1,-2,-5,-4
789202778858,-1,-5,-10,-13,4,-3,-1,0
789202793705,8,17,22,14,10,9,6,6
789202793705,-4,-2,3,3,-8,-3,-1,-5
789202795305,1,-5,-20,-15,-2,-4,-1,1
789202795305,-6,-6,-4,8,-1,-1,-4,-3
789202822862,3,2,7,2,6,2,1,1
789202822862,-1,-2,-1,-8,0,-1,-3,-1
789202832047,-2,0,2,-7,-9,-4,-2,0
789202832047,1,-1,-6,-4,-7,-3,1,1
789202832870,-2,-5,-7,2,5,-2,-3,-1
789202832870,1,4,7,5,0,2,0,1
789202863384,-2,0,1,-4,-8,-2,-1,-4
789202863384,0,3,3,2,1,2,4,-1
789202864178,-5,-5,-2,1,5,-2,-5,-4
789202864178,-1,-5,-9,-5,-1,1,0,-1
789202884209,2,3,6,9,2,4,2,1
789202884209,-4,1,7,6,12,3,0,-2
789202884943,-2,-4,-3,-3,-14,-2,-1,-1
789202884943,-4,-9,-16,-19,-17,-9,-6,-5
789202906917,2,0,0,-2,0,-2,-2,0
789202906917,2,2,1,-2,3,-1,-1,-1
789202907671,5,4,7,6,9,8,5,6
789202907671,1,0,1,8,7,3,1,0
789202909335,0,-4,-5,-7,-4,0,0,-3
789202909335,1,4,1,-3,-6,-1,1,4
789202913752,-2,0,-3,-4,1,0,1,-1
789202913752,-10,-10,-7,-5,-6,-8,-8,-9
789202915398,8,10,13,8,8,7,9,7
789202915398,-2,-6,-6,-5,-6,-2,-2,-1
789202936439,2,0,-2,3,3,-1,-2,2
789202936439,-3,-5,-6,-2,-1,-2,-2,-1
789202937873,-1,-2,2,-1,-1,-2,0,-2
789202937873,-4,-3,5,6,-2,-4,-5,-5
789202949957,-3,-7,-14,-17,-8,-2,-2,-2
789202949957,4,3,4,5,6,1,2,4
789202958876,5,7,9,10,3,5,3,6
789202958876,-3,2,0,0,-1,1,0,-5
