timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
790595653152,-4,-4,-5,-8,-6,-4,-1,-2
790595653152,1,-1,6,-6,-15,-4,0,1
790595657194,-1,1,2,4,3,1,-1,0
790595657194,0,-1,6,15,19,4,-1,-1
790595657805,-1,0,-2,5,18,4,-1,1
790595657805,-1,-1,-3,-2,-5,-3,-1,-1
790595659416,1,-2,1,-8,-12,-4,-1,0
790595659416,-3,-1,1,0,-9,-4,-1,-1
790595662928,1,-2,-5,-3,-8,-2,-1,0
790595662928,-3,-4,-13,-12,-1,0,-3,-2
790595674453,0,3,6,-13,-4,-1,0,-1
790595674453,1,3,11,13,7,-1,0,0
790595687269,-3,-4,-7,9,-8,-5,-1,-3
790595687269,-2,-2,-1,-7,0,0,-1,-1
790595701533,-1,-2,-5,1,-3,1,1,-1
790595701533,-1,2,1,-2,21,4,1,-3
790595703244,4,2,2,-8,-9,-1,1,1
790595703244,-1,-4,-4,0,8,-3,-4,-2
790595731825,-4,-4,3,13,-1,0,-1,-1
790595731825,-2,-1,0,-2,-15,-6,-1,-1
790595732746,0,2,3,0,-4,2,1,2
790595732746,1,3,2,-1,-5,2,0,0
790595739227,0,-4,-6,2,5,-2,0,1
790595739227,-2,-1,5,3,6,0,0,-1
790595779663,1,1,6,-1,-4,1,-1,0
790595779663,0,-1,-5,-3,-4,-1,0,0
790595780332,0,-2,-2,-11,-20,-5,-2,0
790595780332,2,0,1,12,15,0,0,1
790595783380,0,-1,1,5,16,3,0,0
790595783380,-7,-4,3,-1,8,2,-3,-4
790595784160,1,1,-3,5,-2,1,0,0
790595784160,1,0,-4,-5,-7,-3,-1,-1
790595791621,1,1,-4,-2,-13,-5,-2,1
790595791621,4,3,3,-6,-5,1,0,1
790595797758,0,-1,-10,-16,6,-1,0,-1
790595797758,-2,-3,5,19,-7,1,-2,-3
790595812814,-2,0,7,8,0,-2,-2,-4
790595812814,-2,-2,-6,0,10,1,-1,0
790595820206,-2,1,2,0,3,-1,0,0
790595820206,-1,3,2,-6,5,1,1,0
790595829132,0,0,-7,-1,-9,-4,-1,0
790595829132,-3,-3,1,-2,-7,-4,-3,-3
790595851535,1,1,4,-3,9,4,0,-1
790595851535,-2,-3,-2,3,-1,1,-3,-1
790595853126,-2,-3,-1,2,-4,-1,-2,0
790595853126,1,1,-2,-4,-3,-2,0,2
790595874131,0,-1,3,8,-13,-2,-1,0
790595874131,2,3,12,-9,10,-1,-2,0
790595875554,1,1,-17,-4,9,0,-1,0
790595875554,-1,-3,-6,-1,-2,1,-2,-1
790595888598,-3,-2,0,-3,-2,-2,-1,-1
790595888598,-3,-3,-1,8,-8,-3,-1,-1
790595895344,-2,-2,2,-17,-7,2,1,-1
790595895344,1,-1,-2,1,-11,-5,-1,-2
790595911788,-1,0,1,15,13,1,0,-2
790595911788,1,3,12,4,17,0,-1,-1
790595913105,-1,0,1,6,-5,4,1,-2
790595913105,1,1,-7,1,12,1,0,1
790595933974,0,-4,-4,-8,-5,-3,-2,0
790595933974,-5,-9,-21,-19,-13,-5,-2,-2
790595940323,-3,-3,5,-6,5,-3,1,-1
790595940323,2,4,10,10,-18,-4,2,1
790595948515,3,7,20,7,7,4,2,0
790595948515,5,4,-18,19,5,2,1,2
790595955314,-5,-5,-8,-26,-7,-3,-4,-5
790595955314,-2,-6,-8,7,1,-3,-1,0
790595971697,-3,-7,-3,5,5,-4,-1,-1
790595971697,-3,4,10,-18,-5,0,-2,-2
790595973082,0,-2,-2,1,-9,0,0,-1
790595973082,-1,-3,-9,-9,-19,-4,0,-1
790595994258,2,1,4,1,26,4,0,1
790595994258,3,5,11,-7,-13,3,2,2
790595995617,2,0,-6,10,4,-4,0,0
790595995617,0,1,5,6,5,0,-1,-1
790596007735,-7,-5,-10,-11,-14,-4,-5,-6
790596007735,-2,-6,-10,1,13,0,1,0
790596016633,-6,-5,3,-15,5,-3,-4,-4
790596016633,4,3,2,2,-4,1,3,3
790596031653,4,11,15,37,-5,1,2,3
790596031653,1,0,1,7,-5,0,1,1
790596033122,-5,-9,-17,-3,-6,-3,-3,-2
790596033122,-3,1,6,-15,34,6,-1,-3
790596054052,-1,-4,-15,-50,-14,0,-1,-1
790596054052,1,-5,-2,32,0,-1,1,1
790596055717,-3,1,14,21,-1,-1,-1,-2
790596055717,-4,-1,0,-5,-1,1,-1,-3
790596067761,5,7,15,-2,-8,1,2,0
790596067761,5,1,-19,-26,-18,-4,1,3
790596076639,-3,-7,-8,-4,18,-2,-4,-1
790596076639,-4,0,6,20,12,0,-3,-2
790596091771,0,5,4,-4,-16,1,0,-1
790596091771,0,-4,-4,-7,14,3,-1,-3
790596093105,0,0,6,8,-14,-3,-1,-1
790596093105,-2,-4,-15,-14,-5,1,-2,-1
790596114154,0,-2,-2,18,-6,-5,-1,1
790596114154,-2,0,8,2,6,-4,-2,-1
790596115576,-3,-1,2,-20,-3,-3,-2,-4
790596115576,3,2,9,20,5,2,0,0
790596127863,0,-3,-14,-14,-3,1,1,0
790596127863,-1,0,5,1,-10,-3,-3,0
790596144188,2,-3,-15,-5,7,2,1,1
790596144188,-6,2,14,-17,-16,-4,-3,-5
790596151806,0,-8,-23,7,8,-1,0,-2
790596151806,-3,-2,14,2,1,2,-1,-3
790596153109,6,6,3,17,-6,2,4,3
790596153109,-1,-5,-8,-9,5,-2,0,-1
790596174187,-2,1,1,-6,2,-2,-2,0
790596174187,0,5,9,5,16,1,0,0
790596175569,-1,2,0,4,-15,-3,-3,-1
790596175569,2,0,-3,0,-2,0,0,1
790596187719,-3,-2,0,-3,-1,-4,-1,-2
790596187719,-3,-2,-9,-13,-15,-2,-1,-1
790596196590,2,2,1,-1,0,1,0,0
790596196590,2,1,-1,-1,0,-1,-1,2
790596211649,-3,-4,1,8,7,0,-1,-2
790596211649,-2,2,1,-1,-6,0,0,-1
790596213055,4,2,3,2,5,1,2,2
790596213055,-2,-4,-3,-2,-2,-4,0,0
790596234186,-3,-2,-3,0,-2,2,-1,-2
790596234186,-4,-4,-11,-7,0,-1,0,-1
790596235595,-1,0,7,0,2,-1,-2,0
790596235595,2,0,-2,-6,-9,-1,0,0
790596247662,2,1,3,6,7,0,0,0
790596247662,-4,-1,0,1,0,-2,-3,-4
790596256570,-2,2,-1,-6,4,2,0,0
790596256570,1,-2,-1,6,-3,-2,2,3
790596270748,-2,1,3,10,3,-1,-1,-1
790596270748,1,-2,-7,-7,-1,1,2,2
790596277575,0,-1,3,3,3,3,2,0
790596277575,0,0,4,3,-6,0,-3,-5
790596293905,0,-2,7,-13,0,-4,-2,-1
790596293905,2,3,-9,2,-14,1,0,-1
790596295506,-1,-4,-3,6,13,-2,0,1
790596295506,-7,-1,1,-5,-4,0,-3,-4
790596307607,-2,-6,-4,11,17,-1,-2,-1
790596307607,0,2,9,9,-5,0,-1,-2
790596316614,7,6,-1,-12,-15,0,2,3
790596316614,0,-4,-6,-2,-1,-4,-2,3
790596330821,-4,-1,-3,-25,4,6,-1,-1
790596330821,-3,-4,0,8,1,-1,-2,-2
790596345090,-2,-2,2,17,-2,-3,-3,-2
790596345090,4,5,3,-5,-4,-2,0,-1
790596353946,2,3,-2,-4,-9,-2,0,1
790596353946,-5,-8,-12,-3,2,-2,-4,-3
790596355534,-3,-4,-5,-11,-4,0,-1,-1
790596355534,0,4,8,-17,-4,-1,0,-2
790596367588,3,-7,-7,1,-20,-4,0,1
790596367588,-4,-3,3,30,32,1,-1,-4
790596384058,1,1,5,-2,4,2,0,-1
790596384058,0,2,-4,-3,27,7,1,1
790596390941,-1,0,-3,13,-20,-4,0,0
790596390941,1,0,4,-23,-19,-4,-1,0
790596397738,1,0,-8,-4,-8,-4,-2,-2
790596397738,2,-1,4,-12,-5,1,1,2
790596421567,-1,5,6,14,9,6,0,-2
790596421567,-3,-4,-3,8,20,6,1,-1
790596423130,-3,-5,-12,-2,2,0,-2,-2
790596423130,4,5,9,17,-19,-2,1,0
790596436638,4,4,-2,-7,23,6,0,4
790596436638,-2,-2,12,40,15,-3,-3,-3
790596438102,1,6,3,-6,5,3,1,-1
790596438102,-2,-7,-24,-17,-11,-1,0,-2
790596450984,-6,-3,-9,-30,-12,-1,-4,-3
790596450984,-2,0,18,-28,-40,-8,-3,-3
790596457751,2,-2,0,34,33,2,0,1
790596457751,-2,-2,-7,-24,2,0,-1,-2
790596474152,-1,-5,1,41,-30,-3,0,-1
790596474152,4,6,3,-20,22,5,0,0
790596475570,3,-4,-6,-15,5,4,2,2
790596475570,-5,3,22,53,26,-1,-4,-2
790596496614,-1,-2,-24,-52,-7,-3,0,-2
790596496614,6,-6,-22,-23,-29,-4,5,6
790596498094,-5,7,36,61,-1,-6,-4,-2
790596498094,-3,-8,-19,-21,3,5,1,-2
790596510288,0,1,12,1,14,-2,-1,-2
790596510288,5,6,5,6,-12,1,1,2
790596519091,-6,-11,-19,-48,-9,-2,-3,-2
790596519091,-3,-3,-12,-19,6,-6,-1,0
790596534155,-2,0,20,68,6,-3,-1,-3
790596534155,4,6,-11,-30,-17,3,2,1
790596535584,2,-3,-1,-20,-25,-14,-3,2
