timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
791866593825,-5,-2,5,4,21,1,0,-2
791866593825,-1,0,4,21,-34,-4,-1,-2
791866594625,5,2,6,-25,-6,-8,-1,3
791866594625,6,0,-20,-25,-22,4,3,5
791866595427,-2,-1,1,9,22,0,-4,0
791866595427,-9,-4,-2,-7,14,8,-5,-5
791866596229,-7,-4,1,2,-45,-12,-7,-7
791866596229,5,3,6,17,26,6,3,5
791866601233,6,4,-9,-14,-4,4,4,4
791866601233,-1,-1,7,32,14,0,1,-1
791866602031,-4,-1,-1,-8,-24,-6,-2,-3
791866602031,-5,-3,3,-2,-43,-8,-1,-5
791866607658,5,2,1,6,3,0,7,3
791866607658,1,-1,-9,-27,41,3,-2,-1
791866615020,-3,-1,0,29,17,12,-2,-2
791866615020,-8,-5,1,25,15,-1,-7,-6
791866632639,-2,0,3,-13,-14,-3,-5,-1
791866632639,1,-1,4,-14,-37,-12,2,0
791866646316,7,3,-13,-28,-28,7,11,7
791866646316,3,2,9,64,60,4,-1,0
791866649235,-10,-6,0,-38,-14,1,-9,-10
791866649235,-4,-1,-9,-3,27,0,-4,-2
791866666201,2,0,7,17,-4,-6,1,2
791866666201,-1,-1,-1,2,-33,-15,0,1
791866700126,-2,-1,3,20,12,2,-4,-1
791866700126,-3,-3,-1,1,-8,-4,-6,-4
791866700996,-4,-1,4,11,-9,-2,-1,-4
791866700996,7,5,-1,-39,-48,-8,7,5
791866704978,1,-3,-13,-28,57,5,0,-1
791866704978,-1,2,4,19,11,6,-1,1
791866705682,-3,-4,2,26,-91,-17,-4,-1
791866705682,0,-4,-5,-34,105,15,0,0
791866711085,3,3,-1,26,4,-3,-3,0
791866711085,-8,-3,0,-6,9,-3,-7,-7
791866727168,-2,1,3,11,1,-6,-4,-3
791866727168,-3,-1,1,9,-55,-17,-1,0
791866735026,7,2,3,28,-37,10,10,6
791866735026,5,-2,-8,-55,51,7,6,1
791866741749,-3,0,4,-7,-17,2,-4,-2
791866741749,-1,2,-1,30,36,1,-4,-2
791866756121,0,-1,1,-11,-13,-5,2,2
791866756121,-9,-8,6,43,-30,-10,-6,-6
791866772386,0,-3,-9,-26,22,0,-1,0
791866772386,-2,-3,-5,3,-18,-6,-3,-1
791866774002,-1,4,4,4,2,8,1,1
791866774002,8,5,7,-8,-8,1,5,5
791866795385,5,3,-27,-67,21,0,6,1
791866795385,0,2,7,-23,-58,-2,-3,1
791866801005,-8,-5,11,33,71,0,-8,-8
791866801005,-7,-3,-1,42,20,-2,-10,-7
791866808520,-6,-4,5,24,-5,-1,-1,1
791866808520,-1,-1,-5,-39,7,1,3,-1
791866817512,5,3,-2,-11,-27,-16,4,3
791866817512,5,-3,2,25,-1,10,1,2
791866832428,1,-2,-6,10,35,10,-3,-3
791866832428,-12,-6,-5,4,-9,-2,-7,-7
791866834038,-8,-2,2,-22,-10,-7,-5,-6
791866834038,0,0,-9,-24,-87,-27,5,1
791866854928,15,10,-9,-28,36,22,12,11
791866854928,3,-2,6,67,19,11,1,0
791866856492,-15,-7,3,6,-23,-5,-14,-12
791866856492,3,8,14,-48,33,7,4,2
791866868543,5,0,4,36,-65,-5,6,3
791866868543,-4,-4,-14,-30,-30,-12,-2,-4
791866877511,-8,-15,-24,-24,99,-5,-5,-7
791866877511,5,7,19,50,-43,11,0,10
791866899996,-7,-2,14,42,64,10,-10,-6
791866899996,3,4,6,-8,-26,-2,2,1
791866901433,7,5,-7,-33,-114,-15,6,6
791866901433,3,-1,-18,-34,36,6,7,0
791866922434,-1,0,9,12,78,17,1,-4
791866922434,0,5,-4,10,36,5,-5,-2
791866924091,-7,-3,25,59,-25,4,-8,-7
791866924091,0,-6,-19,-98,-44,-10,4,4
791866936438,-6,-5,-31,3,-25,-16,0,1
791866936438,-5,-6,2,-7,-74,-13,-2,-4
791866958898,13,6,5,20,106,19,8,12
791866958898,-3,6,20,69,-22,-4,-7,-7
791866967320,2,2,2,-27,-15,19,2,-3
791866967320,13,5,-40,-110,30,13,12,6
791866968999,-20,-12,6,10,-48,-20,-16,-12
791866968999,-13,-12,-5,48,32,-11,-11,-7
791866973939,-1,-1,-4,13,-4,-8,0,2
791866973939,15,17,23,1,-22,-5,7,6
791866998554,11,14,-14,-39,-23,8,11,6
791866998554,-12,-23,23,84,8,6,-1,-9
791866999341,-9,-6,-7,4,-2,-12,-7,-6
791866999341,-4,-10,-10,-54,39,8,-2,-1
791867013793,3,4,-2,18,-16,-2,-1,2
791867013793,3,14,14,-37,-9,-2,0,0
791867014772,7,5,8,20,-9,-8,3,3
791867014772,-9,-10,-3,16,16,-2,-5,-5
791867018662,-2,-3,-12,-35,-6,3,2,1
791867018662,1,2,-7,10,-4,-2,-1,1
791867034913,0,-1,8,-24,-6,-2,-1,1
791867034913,-1,6,13,71,17,1,-1,0
791867036494,0,1,0,-25,-15,-1,2,0
791867036494,2,-9,-17,-15,8,1,3,0
791867057522,-1,0,1,-24,-3,-7,-2,-2
791867057522,-5,-6,1,56,-1,0,-3,-3
791867059003,2,0,2,0,-4,5,2,2
791867059003,3,6,-9,-31,11,5,2,1
791867071781,-3,0,7,-18,-5,-5,-3,-2
791867071781,-7,-4,5,27,-3,-1,-5,-1
791867078648,4,0,-4,-5,1,-1,1,0
791867078648,-5,1,-9,-30,7,-7,-38,-18
791867094961,-3,-1,4,19,-9,2,30,-6
791867094961,12,2,3,13,8,6,23,37
791867096462,-4,-5,-2,-9,0,3,9,1
791867096462,0,1,-4,7,-2,2,8,6
791867123916,-7,-4,-1,-8,-7,-3,-22,-14
791867123916,4,2,2,4,6,-4,-2,-4
791867140576,-5,-3,-1,-6,-3,2,-2,-3
791867140576,3,9,-4,3,-2,-3,-7,-3
791867142253,-10,-8,-2,-9,-7,-10,-9,-8
791867142253,-5,-4,5,4,14,9,7,2
791867142955,6,1,-1,12,-6,-4,-2,4
791867142955,4,3,-4,-8,0,2,5,2
791867155637,0,-2,-4,-9,-4,-1,-3,-4
791867155637,-13,-6,-2,8,-6,-1,4,-15
791867156556,9,7,8,19,12,4,0,6
791867156556,8,-2,-6,-15,0,0,14,13
791867176653,2,-2,1,-4,-1,0,1,8
791867176653,-6,-5,-2,-3,-4,-4,-17,-18
791867177436,-9,-1,-2,0,-4,2,-4,-13
791867177436,-2,0,-5,-13,3,-3,0,-3
791867208845,13,7,5,5,3,5,6,15
791867208845,-1,1,3,11,-1,-3,0,1
791867209616,0,-5,-4,-9,-5,0,0,1
791867209616,3,3,-1,3,-3,2,-3,-4
791867221662,-12,-9,-5,-11,-1,-3,0,1
791867221662,-1,-2,-1,5,-3,-3,-5,-6
791867222605,8,-2,-7,-36,-5,-1,4,8
791867222605,-11,-4,-7,5,2,0,-1,-7
791867236680,2,0,12,-4,5,-2,-1,3
791867236680,1,2,-3,-8,-10,-1,-5,-1
791867237427,-4,-1,8,26,6,-3,-7,-8
791867237427,4,-5,-2,-2,12,5,11,8
791867259140,1,4,-9,-4,-9,-1,-2,-1
791867259140,2,-1,2,1,-17,-20,-3,0
791867259988,-5,3,4,-9,-36,6,-2,-5
791867259988,0,1,1,6,55,22,5,2
791867281823,3,-2,-14,19,11,5,-3,-3
791867281823,-6,0,8,-41,4,4,-7,-7
791867282486,-3,-7,-3,1,-14,-12,3,1
791867282486,-7,-7,-6,-2,-26,-18,-5,-3
791867296754,2,-3,8,-4,-3,2,0,1
791867296754,6,9,6,-23,11,0,1,-2
791867297490,8,7,-5,-5,15,1,7,10
791867297490,-2,-4,-2,-22,-4,0,0,2
791867319185,-8,-6,3,57,-9,-12,-10,-8
791867319185,4,3,-10,-26,-1,4,1,3
791867320039,7,3,0,-15,-81,-13,1,2
791867320039,-3,0,5,11,68,6,5,0
791867334309,-4,3,6,25,35,12,-8,-8
791867334309,-9,-5,-1,33,-21,-1,-8,-5
791867335051,0,4,3,8,58,12,1,-1
791867335051,5,-4,4,18,-44,-9,4,7
791867356808,-5,-1,0,-41,-56,-19,1,-2
791867356808,5,1,-10,-3,88,0,5,2
791867357443,-2,5,-6,-17,47,14,-5,-5
791867357443,-8,-6,7,35,-14,9,-1,1
791867379126,-3,-6,-3,-26,-30,-8,-2,0
791867379126,2,-1,-2,38,-20,4,-2,1
791867379911,0,-6,-14,18,59,-1,1,1
791867379911,1,6,7,-46,-32,-9,-3,-3
791867394287,3,8,9,20,18,-1,0,2
791867394287,-4,3,0,-3,-44,-10,3,0
791867395030,-4,-9,2,13,-34,-4,-3,-5
791867395030,-2,-5,-17,-83,-12,3,3,-3
791867418159,-1,2,-4,13,0,8,0,-4
791867418159,4,-1,-1,-20,77,17,2,6
791867418933,-9,4,6,40,-80,-39,-1,-2
791867418933,5,10,8,-31,69,20,-2,-3
791867439319,12,-16,-12,-43,-89,-21,6,10
791867439319,-6,-2,-3,67,109,16,-6,-5
791867440050,-8,-1,19,59,96,15,-4,-1
791867440050,-5,3,-5,-56,-118,-14,-8,-6
791867454096,3,0,-24,-26,-42,6,9,7
791867454096,4,-6,-2,-53,-30,-9,-1,1
791867454874,-9,-8,-17,-20,-69,-24,-4,-4
791867454874,4,3,4,29,73,12,0,2
791867476639,2,6,15,-9,-62,-25,3,5
791867476639,-5,-8,-3,-8,60,20,2,-4
791867477418,8,4,2,9,51,22,0,1
791867477418,-5,1,8,-4,-9,-6,-2,-7
791867499785,0,5,2,73,12,2,-5,-2
791867499785,-5,-2,-7,-6,-112,-17,0,-3
791867500564,8,1,-24,-128,-49,-11,7,7
791867500564,5,-6,10,49,-3,5,5,6
791867514303,-9,-7,0,22,127,26,-8,-4
791867514303,-7,-1,2,34,-33,-4,-12,-4
791867515078,0,1,10,18,-22,10,-2,-1
791867515078,12,10,6,-44,-101,-20,10,3
791867546854,16,15,-8,-27,46,2,16,10
791867546854,-4,-13,-6,-12,52,7,2,1
791867547705,-22,-18,-12,-22,-33,-14,-22,-18
791867547705,-4,-2,18,127,-4,2,-5,1
791867559148,-3,4,-4,-89,10,1,-1,-5
791867559148,14,11,0,-2,-21,10,10,11
791867559982,3,1,15,37,24,0,2,3
791867559982,-11,-8,-23,-46,-10,-5,-7,-8
791867575677,7,3,-6,35,51,19,4,4
791867575677,-3,-5,11,-83,-123,-22,-3,-6
791867576436,-3,-2,-3,53,103,14,-1,-2
791867576436,-6,-5,3,70,52,4,-5,-5
791867596353,-1,-3,-2,-54,-44,1,-2,0
791867596353,8,3,5,94,-38,-7,8,6
791867611719,3,1,-9,-119,-8,5,5,0
791867611719,-5,-1,-3,-30,16,-9,-6,-4
791867619111,-10,-4,5,60,18,-3,-8,-4
791867619111,-4,2,3,33,-22,-8,-4,-1
791867619917,8,1,-1,9,-19,2,3,3
791867619917,4,0,-11,7,15,2,7,3
791867634834,-1,-3,12,-12,-21,-4,-2,-3
791867634834,2,1,8,0,17,4,1,-3
791867635553,-1,0,-4,8,-9,2,1,-1
791867635553,2,0,-6,-20,-2,-3,2,3
791867656596,-7,-3,5,14,-11,-3,-4,-5
791867656596,1,1,-8,-21,12,2,-2,-1
791867657389,0,-1,6,20,3,2,-2,1
791867657389,-1,0,-2,11,-14,-2,-2,-1
791867679258,-2,0,0,-3,3,-2,-2,-1
791867679258,0,1,-4,4,14,-1,0,-2
791867679901,-3,1,5,-1,-20,-4,-1,-2
791867679901,0,0,0,9,-6,-5,1,3
791867701631,3,1,-4,-2,13,5,2,2
791867701631,-3,-2,0,-13,6,1,-3,-3
791867702428,2,1,4,13,-12,-1,0,-2
791867702428,-3,-2,-7,-5,4,-2,-2,-1
791867716110,-5,-3,1,13,-2,-5,-3,-6
791867716110,10,6,4,-2,5,1,4,9
791867731614,-2,0,-5,0,0,1,-1,1
791867731614,1,-1,-1,1,2,2,-2,-4
791867739270,-3,-2,0,-6,-6,-2,-1,-1
791867739270,-5,-4,0,10,-11,-3,-4,-6
791867740191,7,1,2,-18,-6,-3,3,2
791867740191,2,2,1,-9,10,5,3,2
791867778143,-4,-2,4,11,-37,-6,-8,-4
791867778143,-1,-3,-1,0,48,-3,0,-1
791867778766,-3,0,-1,13,1,11,-5,-4
791867778766,-4,-5,-3,-27,-27,-3,-5,-5
791867780412,3,4,-9,-20,20,6,3,3
791867780412,2,1,-4,-3,-22,1,2,3
791867792098,1,1,4,7,-7,-9,1,2
791867792098,2,-1,0,7,10,0,2,2
791867800372,-4,-1,2,-1,-9,-2,-4,-6
791867800372,-3,-3,-2,-11,-26,-7,-2,-6
791867806645,-1,1,4,59,32,3,3,0
791867806645,0,-1,-9,-39,-6,-3,2,0
791867821614,5,-2,-4,6,7,1,1,2
791867821614,-8,-3,3,3,0,-3,-8,-7
791867822556,-3,-2,1,21,-11,-5,-5,-1
791867822556,1,0,5,26,2,4,3,2
791867836072,-1,0,-3,-48,0,-3,-2,-3
791867836072,4,-7,-2,11,5,7,5,6
791867860480,2,3,7,-17,-17,-3,-1,1
791867860480,-9,-1,-4,13,-7,-20,-14,-11
791867862087,4,-4,3,14,15,6,6,7
791867862087,0,5,-1,-8,5,8,-1,0
791867862898,0,-2,-8,-16,-2,4,2,1
791867862898,-4,-3,1,8,-4,-2,-4,-4
791867889780,1,7,1,-17,-5,-3,-1,-3
791867889780,-1,-1,-6,-20,-5,-6,-1,-2
791867890552,1,-4,0,1,5,-1,2,2
791867890552,4,2,-3,4,8,5,6,7
791867895879,-1,-3,2,6,-20,-8,0,0
791867895879,-5,1,1,-11,14,2,-5,-7
791867911705,-6,-3,-9,-13,5,5,-2,-5
791867911705,13,5,6,-3,2,3,2,7
791867919292,-9,-7,-1,22,-6,6,6,5
791867919292,-2,0,0,-12,7,-8,-6,-3
791867920007,2,2,3,1,-9,-1,-1,-2
791867920007,-7,-4,-5,35,3,-3,-4,-7
791867941818,4,1,0,-5,0,-4,-1,0
791867941818,2,0,-14,-1,-12,1,-2,-1
791867942425,-3,-7,13,-15,-9,1,1,-1
791867942425,4,3,-2,-14,9,-7,5,3
791867956018,0,-2,-4,7,22,11,-2,0
791867956018,-11,-5,-6,11,-11,-8,-8,-9
791867971833,10,5,-5,27,-2,-1,6,6
791867971833,4,-1,16,-52,4,0,3,5
791867979180,1,-1,-9,19,18,0,-2,-3
791867979180,3,1,0,-4,-3,0,-2,2
791867979945,-9,-5,-16,-5,-45,-21,-6,-6
791867979945,1,2,7,4,-2,-10,3,1
791868001949,-4,2,0,-16,86,37,-2,-6
791868001949,7,3,10,35,20,17,3,3
791868002410,-5,-7,0,-2,9,6,-4,-6
791868002410,-3,-4,-16,7,-23,-8,1,2
791868015950,0,-2,2,-4,-54,-21,-1,3
791868015950,1,0,-17,31,18,-1,2,3
