timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
791964939913,6,16,20,-69,33,20,4,3
791964939913,3,-5,7,36,35,-1,-2,1
791964940734,-9,-8,-11,-37,-22,-6,-7,-3
791964940734,-5,0,-23,-4,-39,-8,0,1
791964944968,5,8,-7,-4,-27,-7,-2,3
791964944968,9,-5,16,16,-11,-4,5,5
791964945740,-12,-3,-2,-31,-67,-3,-4,-5
791964945740,-7,-13,-1,47,111,9,-4,-3
791964959538,-8,3,9,-20,-50,-7,-7,-4
791964959538,0,-3,-29,13,-57,-14,-1,0
791964960249,8,-10,12,63,74,-4,3,0
791964960249,11,22,33,84,53,40,10,5
791964966937,9,1,-9,-66,-80,-17,6,5
791964966937,-9,-1,-10,2,127,4,-7,-6
791964981246,-5,-8,-9,23,-45,0,-6,-1
791964981246,-12,-6,-19,14,58,-7,-14,-10
791964989264,-3,9,35,42,23,5,1,2
791964989264,7,32,18,55,-88,3,4,0
791965004234,16,-15,-38,-55,-15,-9,10,7
791965004234,-12,-48,-15,-90,-60,-26,-2,-5
791965012076,3,10,-16,9,1,0,-2,-2
791965012076,-2,-2,5,-65,81,20,-2,0
791965027095,-9,5,47,89,14,8,-8,-7
791965027095,12,28,2,-75,-38,7,6,7
791965028538,-5,-27,-9,64,-19,-22,-3,-2
791965028538,-5,13,5,-18,-71,-9,-4,-1
791965050066,5,23,-22,17,87,8,4,-2
791965050066,8,-17,19,10,51,8,1,2
791965087321,10,32,59,-24,-38,11,9,6
791965087321,1,-15,-33,27,-11,-33,-5,-1
791965094437,-24,-47,-50,38,51,0,-15,-9
791965094437,-6,5,-4,-38,24,16,-6,-3
791965095017,5,16,24,-21,-26,28,6,0
791965095017,12,16,43,7,24,0,12,8
791965095888,4,15,11,28,-8,-26,-6,2
791965095888,-7,-16,-24,5,-14,-3,-7,-5
791965101143,-6,-12,-15,-10,12,2,-1,-3
791965101143,7,21,3,52,-40,23,11,4
791965108131,9,-8,16,-60,-10,-13,10,2
791965108131,0,15,0,-1,-64,-26,-3,1
791965115643,-5,-13,-30,14,64,-2,-8,-2
791965115643,-9,-12,-3,-11,-7,16,-7,-5
791965130498,-3,10,14,20,47,22,0,-4
791965130498,9,4,23,4,-32,1,9,4
791965138818,-5,-8,-13,9,17,-12,-4,-3
791965138818,-9,1,-5,-12,32,-19,-10,-5
791965152983,6,-7,-12,-25,-112,1,3,6
791965152983,-1,-1,4,1,110,11,2,0
791965161092,-3,-8,-2,12,-25,-14,-3,-2
791965161092,0,-4,-2,-18,23,7,3,-2
791965176731,-1,22,9,0,-40,-8,1,0
791965176731,-2,-9,-5,6,-17,-22,-4,-2
791965177316,3,-2,-5,8,37,23,1,1
791965177316,-3,-1,9,-32,-24,6,-3,-3
791965214417,3,-1,-1,-3,25,10,4,-1
791965214417,-2,-1,1,16,-29,-7,-1,-3
791965215063,-3,-1,1,5,2,-13,-2,2
791965215063,-3,-5,-5,-13,-10,3,-3,0
791965229271,-1,0,-8,-33,-6,1,1,0
791965229271,1,-6,-10,21,25,4,0,-1
791965230026,-5,-4,7,-15,-20,-9,-4,-3
791965230026,-1,-4,0,14,7,0,0,2
791965236066,1,6,7,8,7,-4,-5,0
791965236066,-2,1,-2,-17,-16,0,-3,-2
791965237024,0,-4,-13,-3,-9,-5,1,0
791965237024,0,-3,-5,-7,-5,-2,2,1
791965258872,-1,3,15,0,16,5,1,-2
791965258872,3,2,4,5,-3,3,4,3
791965266135,-4,-2,-9,6,-6,0,-3,-5
791965266135,-2,-3,-1,1,12,1,0,-1
791965281904,4,5,0,-5,-2,-1,2,2
791965281904,-3,-6,-3,0,-4,-4,-2,-3
791965282694,1,-1,-5,4,-5,-8,2,0
791965282694,1,4,4,-12,2,6,-1,-2
791965296258,-1,-2,-3,4,2,-2,-2,0
791965296258,-1,-1,-2,-7,-5,1,-1,2
791965296804,-1,-2,2,-1,-1,-6,-1,-2
791965296804,0,-1,-4,-7,-4,-2,-1,0
791965320733,-1,0,3,6,1,2,1,0
791965320733,-2,0,2,5,12,4,2,2
791965321571,1,0,0,-5,-7,0,1,-1
791965321571,-1,-2,-6,2,-4,-5,-3,0
791965341914,-2,-2,-3,-11,3,2,0,-3
791965341914,0,-1,4,9,-1,-1,-2,-3
791965342547,2,2,0,1,-1,-2,0,1
791965342547,-3,-3,-1,-1,-8,-3,0,-4
791965356264,-2,-2,-4,1,4,2,-2,-1
791965356264,-1,0,2,-11,-6,3,1,-1
791965356852,2,2,0,5,1,-1,1,2
791965356852,-1,-1,1,-1,0,-5,-3,-4
791965379471,-1,-2,1,1,1,0,0,-1
791965379471,-1,-2,-1,-4,-4,2,-1,-3
791965380060,-1,-5,-7,-2,-8,-5,-5,-3
791965380060,4,4,1,-2,-1,-3,1,1
791965409436,0,-3,-3,-18,-8,-6,0,2
791965409436,-5,-1,-4,22,-4,5,-3,-4
791965410013,1,-3,1,8,21,6,1,2
791965410013,-1,0,-7,-8,-9,-1,0,1
791965416265,1,4,10,24,-19,-7,-2,-2
791965416265,2,-2,10,5,37,3,2,2
791965416806,-7,-3,-2,7,-1,1,-4,-4
791965416806,-1,-4,-8,-8,4,3,-1,-1
791965439499,-1,0,-20,-28,-7,-5,-2,1
791965439499,1,-1,6,-42,-31,-5,2,2
791965440013,-1,0,3,60,5,4,3,1
791965440013,-2,6,6,20,22,1,-2,0
791965461826,-3,4,1,-2,0,-3,-5,-3
791965461826,3,4,-9,1,-4,-3,0,1
