timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
792820745761,1,1,-2,0,0,2,-4,0
792820745761,4,1,-1,0,0,-2,-2,-1
792820746692,-8,-4,-1,-2,-2,-2,0,2
792820746692,1,-7,-1,0,-1,0,2,0
792820747484,5,13,2,1,1,1,-1,-4
792820747484,-3,-1,0,0,-1,-3,-1,-2
792820749525,3,0,0,1,1,0,-1,0
792820749525,-3,0,0,-2,-2,-3,0,0
792820756547,-1,-5,-2,-1,-1,-1,2,3
792820756547,1,1,-3,0,-1,0,-1,2
792820764431,6,-1,-1,-2,-1,0,0,2
792820764431,-34,1,1,2,-1,1,1,-6
792820771638,4,-7,-3,-2,-4,-6,-8,-4
792820771638,-3,-2,-1,0,0,0,0,-2
792820789340,3,0,0,0,-1,-1,0,3
792820789340,-1,-2,-2,-1,-1,-1,0,-1
792820792918,-4,-1,1,-1,1,-2,-2,-2
792820792918,-5,0,-2,-1,0,0,0,-2
792820811973,2,-1,-1,0,0,1,-1,-2
792820811973,11,1,-1,-1,0,-1,-2,2
792820815551,2,-2,-2,-2,-3,-3,-5,-5
792820815551,-2,-1,0,-1,-2,-2,-3,-4
792820827084,-2,2,0,-2,0,0,1,-1
792820827084,5,0,-1,-1,0,-2,-4,2
792820830508,4,1,1,0,2,2,5,4
792820830508,1,-15,-1,0,1,1,1,-4
792820878646,18,-3,-1,-3,-1,0,0,4
792820878646,-18,2,-2,0,-1,-2,5,-1
792820879626,46,6,0,0,-3,-14,-32,-30
792820879626,-5,-6,-3,1,-2,0,4,1
792820880327,-3,-1,-1,0,1,0,1,-1
792820880327,12,-2,-4,-3,-2,-2,4,21
792820883532,-38,0,3,3,6,16,11,-27
792820883532,3,3,0,-1,-2,-3,-4,-15
792820898384,4,-2,1,0,-3,-1,0,8
792820898384,5,-2,2,-1,0,-1,-2,0
792820899173,-3,-1,0,-2,-3,-1,6,16
792820899173,4,0,1,-1,0,-1,-3,-5
792820906772,-13,1,-2,-1,0,1,1,-5
792820906772,3,0,1,1,0,1,0,0
792820920334,-17,-10,-3,-1,0,1,1,1
792820920334,43,16,0,-1,0,-2,3,17
792820929297,-9,-3,-2,-1,-1,1,1,0
792820929297,-11,-1,0,2,0,-4,-12,-16
792820935338,8,-3,-2,-2,0,-4,2,9
792820935338,-43,-11,0,0,2,5,2,-18
792820950387,23,9,-1,-3,-5,-5,-12,36
792820950387,8,0,-1,1,2,4,1,-9
792820957708,-7,-3,-1,1,0,3,7,6
792820957708,1,2,-4,-4,-3,-5,0,7
792820966734,-20,-1,5,5,7,6,9,-28
792820966734,-6,-5,-1,-2,-2,-4,-11,-3
792820989084,6,0,-3,-1,-5,-9,-6,0
792820989084,-9,-8,-1,-1,0,5,0,-2
792820990782,9,0,-1,0,1,-3,0,-2
792820990782,3,3,-2,-1,0,3,3,-5
792820995391,-5,0,0,-1,0,-1,-3,-1
792820995391,1,0,0,-1,-1,1,-1,-14
792821010223,-3,-1,-2,-2,-1,-3,-4,15
792821010223,-15,-3,-1,1,-1,-2,-3,-10
792821017719,9,4,-2,-2,-2,-1,3,6
792821017719,-4,-2,-1,0,-1,-1,-4,1
792821026686,-1,-3,-1,-1,-2,-2,1,-2
792821026686,4,2,2,-1,0,1,3,10
792821040304,-6,-10,0,0,-1,1,9,13
792821040304,8,17,0,1,-1,-1,-9,-9
792821065008,-10,-4,-2,-3,-2,-9,-12,-19
792821065008,6,-1,0,-2,0,-2,0,-1
792821065026,-11,-2,-2,-1,0,3,2,-2
792821065026,-5,-9,0,1,1,-2,4,13
792821076742,4,2,-2,0,-2,-1,-2,-5
792821076742,-5,-1,-3,-1,0,-1,-2,-4
792821078253,3,0,1,-1,0,-4,-3,3
792821078253,3,-1,-1,-1,-2,0,2,5
792821086691,3,1,-1,1,1,1,-1,-3
792821086691,2,-2,1,-2,-3,1,4,3
792821100222,2,3,-1,-12,0,2,0,-1
792821100222,2,-2,-1,0,1,-2,-3,0
792821109170,-7,-1,5,36,2,0,2,-4
792821109170,1,0,-3,-54,-6,-2,2,3
792821115201,4,-1,-14,-13,-4,1,-2,0
792821115201,-4,-1,2,18,6,1,-1,-1
792821130196,-5,-2,4,-8,-3,-2,-5,-4
792821130196,4,1,-1,15,-1,2,1,1
792821137667,6,9,15,13,2,1,2,3
