timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
789495893338,2,-3,-4,-1,-1,-5,-4,1
789495893338,4,5,-3,-5,-6,-6,-9,-9
789495894182,-5,-4,-3,-1,-1,2,4,-3
789495894182,13,5,1,0,0,1,2,4
789495908285,-4,-3,-1,-2,-2,0,-1,-3
789495908285,1,-1,1,2,1,3,3,4
789495909042,4,1,1,1,0,-2,-1,2
789495909042,-6,-3,-3,-1,-3,-4,-2,-4
789495910660,0,1,1,2,1,2,3,0
789495910660,0,-1,0,-1,1,-2,-1,2
789495929706,-3,1,0,-2,-1,-2,-2,-3
789495929706,-2,-2,-1,-1,0,-1,0,0
789495930500,0,0,0,-1,0,0,-1,0
789495930500,-3,-2,1,-1,1,2,1,1
789495937051,-1,-1,-3,-1,-1,2,-4,0
789495937051,-2,0,1,-2,-1,0,-1,0
789495944012,-1,3,1,1,-2,0,0,-1
789495944012,0,-3,1,1,0,-1,2,-1
789495959184,5,-5,-1,2,0,0,-5,-4
789495959184,12,20,8,5,2,3,11,18
789495967600,8,3,-2,-3,-4,-3,1,-3
789495967600,-2,-2,0,-1,-1,-1,-5,-6
789495982269,-7,-2,-4,-3,-4,-3,-3,-4
789495982269,-6,-6,-2,-3,0,-1,-6,-6
789495982945,-3,-1,1,2,1,2,3,4
789495982945,-1,1,-1,0,-1,0,0,-2
789496013385,8,6,5,2,4,5,10,11
789496013385,-6,-9,-3,-1,-2,-2,-4,-4
789496014052,-5,-2,-1,-1,-2,-2,-3,-4
789496014052,-2,-2,-1,0,-1,-1,-1,-2
789496043357,-1,-2,-2,0,-1,-2,-3,-1
789496043357,-12,-8,-2,-1,-1,-2,-3,-4
789496044388,0,3,2,2,2,2,-5,-6
789496044388,9,4,0,-2,0,0,6,11
789496045135,-2,1,1,0,2,6,17,13
789496045135,-1,-4,-2,-1,0,-3,-14,-5
789496057705,-14,-13,-6,-3,-3,-5,-2,-5
789496057705,5,10,5,2,2,-1,-4,-4
789496058732,-7,-3,-2,-1,-2,-3,-5,-5
789496058732,8,6,-2,-2,-1,-1,1,0
789496064565,7,4,1,1,0,2,4,8
789496064565,-3,-2,-1,2,2,0,-1,1
789496070662,-4,-4,-4,-4,-4,-3,-3,-4
789496070662,-1,0,-1,1,0,-2,0,-3
789496087049,4,1,-1,0,0,-3,-2,-2
789496087049,-5,-3,-4,-3,-3,-4,-3,-6
789496093227,4,1,2,3,3,2,3,0
789496093227,-5,-5,1,0,1,1,0,-3
789496116376,5,0,-2,-3,-4,-5,-2,3
789496116376,-8,-5,0,1,-1,4,-4,-10
789496117138,3,1,-2,-3,-4,-12,-17,-3
789496117138,-7,-7,-2,-3,-1,6,10,-2
789496132750,-9,-4,-6,-5,-2,-3,-2,-6
789496132750,0,2,-3,-5,-6,-6,-11,-9
789496133720,4,-3,0,1,2,5,3,3
789496133720,3,6,3,0,1,-4,-3,4
789496153691,-17,-8,1,1,1,1,-3,-6
789496153691,6,-2,0,0,2,5,7,10
789496154600,3,5,1,-1,0,-1,1,0
789496154600,5,3,1,2,-1,0,2,4
789496184363,-2,-2,1,3,1,2,3,0
789496184363,-1,-1,0,0,1,0,1,3
789496185318,-1,-1,-1,-1,-2,0,0,1
789496185318,-1,-5,-2,0,-2,-2,-4,-3
789496191348,5,3,-1,-2,-3,-2,-5,-4
789496191348,-10,-9,-5,-3,-2,-3,-3,-5
789496192156,0,-2,-3,-1,-1,-1,-3,-4
789496192156,0,0,0,1,1,3,11,14
789496213829,7,4,-3,-4,-2,-3,-3,1
789496213829,0,0,-1,-1,0,0,2,1
789496214487,-9,-4,-1,-2,-1,-1,-3,-6
789496214487,3,3,0,-1,1,1,1,3
789496236423,11,7,2,4,2,5,9,10
789496236423,-11,-9,-2,0,-3,-10,-21,-11
789496237002,3,4,2,2,1,3,6,4
789496237002,2,2,0,0,-2,0,-1,1
789496251352,-4,-3,-1,-3,-1,-2,1,0
789496251352,7,3,0,-2,-1,1,3,2
789496252086,1,-3,-1,1,-2,-1,-1,-2
789496252086,11,11,5,3,2,5,7,8
789496275218,-4,-4,-1,-1,-4,-4,-8,-7
789496275218,2,1,0,0,0,1,4,3
789496276116,-11,-7,-1,-1,1,1,0,-7
789496276116,30,11,4,1,3,2,4,18
789496296390,-19,-13,-3,-1,0,-2,-5,-8
789496296390,24,18,1,-2,-3,1,10,11
789496296982,-12,-5,-4,-3,-2,-6,-11,-10
789496296982,-3,-1,-2,-1,-1,2,6,-2
789496312022,2,1,1,2,1,4,5,5
789496312022,-4,-9,0,1,0,1,0,1
789496318232,3,0,-1,1,1,5,5,4
789496318232,-9,-3,-4,-2,-3,-3,-8,-9
789496333851,2,-1,-4,-3,-4,-5,-4,-3
789496333851,-8,-1,0,0,0,-1,-2,-6
789496334533,11,6,3,1,0,1,2,5
789496334533,-8,-7,-2,-2,-1,-6,-5,-7
789496364676,-3,0,1,3,2,5,4,1
789496364676,16,7,0,-2,1,-1,-1,12
789496365224,-3,-3,-3,-3,-2,-4,-5,-7
789496365224,-15,-8,-8,-7,-10,-19,-25,-19
789496370691,2,0,1,-1,0,3,14,3
789496370691,-14,-9,-2,-2,-2,-5,-15,-12
789496394996,31,16,6,4,4,3,8,16
789496394996,-3,-3,2,3,4,10,15,6
789496401686,4,-2,0,0,1,0,1,5
789496401686,1,5,-2,-2,-3,-2,-3,-6
789496402470,-5,-6,3,3,2,4,12,16
789496402470,2,1,-3,-2,-2,-6,-11,-10
789496432751,10,6,3,0,2,2,2,9
789496432751,-5,-6,-1,3,1,4,7,0
789496433314,0,0,-5,-5,-4,-3,-8,-4
789496433314,-14,-9,-5,-2,-3,-2,0,-4
789496434997,-13,-15,-5,-1,-7,-14,-28,-20
789496434997,27,18,1,4,5,15,26,15
789496438278,5,9,5,1,5,11,25,14
789496438278,-13,-1,0,-7,-3,-5,-15,-10
789496461326,2,7,1,0,2,0,3,-2
789496461326,-23,-26,0,7,4,-1,-9,-12
789496462018,11,9,-6,-6,-7,-14,-8,-2
789496462018,2,1,-1,5,3,6,6,3
789496476921,10,7,1,-12,-3,-2,5,9
789496476921,4,10,8,4,2,5,6,4
789496477706,-15,-9,-1,2,2,4,-2,-5
789496477706,-4,-9,-3,1,-1,-6,-10,-7
789496490844,1,0,-3,1,-1,1,3,1
789496490844,-18,-9,-7,-7,-9,-18,-26,-19
789496498207,-2,-1,1,-1,1,3,1,-1
789496498207,9,7,0,0,-2,2,7,6
789496513914,-7,-7,-4,2,-2,-2,-12,-10
789496513914,7,6,1,-6,-3,2,9,10
789496514462,-4,-2,0,0,-2,-5,-11,-10
789496514462,0,-5,-3,-3,-1,0,2,-2
789496537755,4,6,4,3,2,5,10,9
789496537755,-4,-7,-5,-1,-2,-6,-11,-7
789496538606,-6,-8,-7,-6,-6,-3,-5,0
789496538606,1,1,3,1,1,1,4,-1
789496550757,-2,2,1,1,1,0,-1,-2
789496550757,-7,-1,-2,-3,-1,-6,-3,-6
789496558295,-16,-18,-6,-2,-3,-5,-13,-12
789496558295,4,4,0,-5,-4,-4,-1,-4
789496573895,1,0,0,2,1,-2,-8,0
789496573895,1,4,2,1,1,3,10,5
789496574478,2,2,2,5,4,6,8,7
789496574478,-4,-3,-1,-3,-3,-3,-3,-2
789496596314,-1,-2,0,-2,-2,-3,-4,-5
789496596314,-1,-1,-1,0,2,2,0,2
789496597042,3,2,1,-2,-5,-2,-2,-3
789496597042,0,-1,1,2,1,-2,0,0
789496612042,0,-3,-4,0,0,0,0,-2
789496612042,3,3,0,-7,0,1,2,2
789496618273,-6,-1,0,3,1,-2,-14,-12
789496618273,7,3,0,1,-1,-2,6,11
789496633967,-6,-1,0,1,0,-1,-1,-3
789496633967,-3,-5,-2,-1,-2,-5,-6,-5
789496634530,3,2,-2,-2,-4,-1,-3,-3
789496634530,-3,-4,-2,3,0,3,-4,-4
789496664647,2,2,0,-1,0,2,5,4
789496664647,0,-2,1,3,-1,-1,0,1
789496665185,3,2,2,-2,2,1,2,1
789496665185,-1,-1,-1,0,3,0,-1,-1
789496670578,2,2,1,1,-2,-1,1,3
789496670578,-3,-6,-1,0,-2,-1,-1,-2
789496695130,3,1,-3,-4,-1,0,2,4
789496695130,1,2,2,-2,-1,-1,0,0
789496696718,1,3,5,3,0,-2,0,-2
789496696718,3,12,21,12,5,5,6,5
789496697624,-4,-3,-10,3,1,-1,-2,-3
789496697624,-2,-8,-11,-10,-6,-3,-4,-3
789496717730,0,3,11,3,-1,-1,-2,-1
789496717730,0,-6,-26,-14,-4,-1,1,3
789496718593,-8,-14,-22,-16,-6,-7,-7,-8
789496718593,-5,-9,-7,-4,1,-3,-1,-2
789496738762,1,-1,3,0,0,0,0,-2
789496738762,1,7,15,6,0,1,2,1
789496739535,9,15,16,6,3,1,6,6
789496739535,0,4,1,0,0,2,0,2
789496761435,-1,0,4,4,0,-1,1,1
789496761435,-1,0,2,6,2,1,0,-1
789496761966,-2,-1,-1,3,-3,-1,-2,-1
789496761966,2,-1,-3,-9,-2,0,1,1
789496776422,0,-5,-10,-6,2,1,0,0
789496776422,-1,-3,-1,0,2,0,0,-2
789496776961,-1,-3,5,4,1,0,-2,-2
789496776961,6,6,4,3,0,1,2,4
789496798887,-1,-3,-9,-10,-8,-6,-4,-3
789496798887,-3,-3,-3,-3,-2,-1,0,-3
789496799470,-1,1,9,8,2,1,2,1
789496799470,2,6,12,9,4,5,3,2
789496815191,-2,-7,-22,-14,-4,-4,-3,-4
789496815191,-3,-6,-11,-12,-5,-2,-2,-2
789496816081,-3,-1,2,0,0,-3,-1,-2
789496816081,0,3,7,7,1,-2,0,-1
789496836445,2,1,-2,6,4,3,-1,0
789496836445,-11,-12,-6,-3,-6,-4,-5,-6
789496837025,2,4,-3,-7,-1,-1,1,0
789496837025,-5,-6,-6,-7,-4,-8,-5,-2
789496867088,3,6,10,4,3,2,3,1
789496867088,3,6,9,16,0,1,2,1
789496867717,3,2,3,2,-6,5,5,2
789496867717,-3,-5,-3,-12,0,1,-1,-3
789496873831,-2,-2,-2,-2,-7,-5,0,-1
