timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
790784706032,-2,-5,-13,41,52,-2,-2,-2
790784706032,1,1,-2,-17,8,1,-2,0
790784706821,-1,-1,2,34,-5,1,-1,-1
790784706821,0,0,5,7,3,3,1,0
790784710951,-1,1,3,-1,-22,-5,0,-1
790784710951,-3,-3,-2,-14,-2,-1,0,-2
790784714637,2,0,-5,2,-6,-3,1,2
790784714637,-2,-3,-1,-29,3,-3,-1,0
790784716697,0,2,4,19,3,1,1,-1
790784716697,0,2,1,14,8,2,-1,1
790784733214,-1,1,4,-9,-1,0,-1,-2
790784733214,3,1,-2,6,0,0,2,0
790784740412,2,-1,-10,-18,-4,1,2,1
790784740412,-4,-3,-1,5,-8,-5,-3,-5
790784748265,-2,-3,-2,-12,5,-1,-4,-1
790784748265,5,2,-2,-24,-24,-1,1,3
790784755401,-2,-2,-2,4,10,1,-2,-3
790784755401,5,0,1,-10,-11,2,1,1
790784777440,-4,0,8,73,49,1,-4,-3
790784777440,-4,-3,1,13,4,1,0,-3
790784778286,-4,0,8,-27,-26,-2,0,-1
790784778286,3,2,-6,-9,-16,-2,3,2
790784824995,-4,-6,-11,-9,-2,-2,-2,-2
790784824995,-2,-1,5,11,0,2,0,0
790784825802,-2,-2,-4,-7,-5,-1,0,-2
790784825802,2,1,3,-5,-4,-1,1,0
790784826646,0,3,0,-19,1,-1,0,1
790784826646,2,1,-5,-19,-8,1,2,1
790784829753,-5,-6,-8,-32,-12,-6,-4,-1
790784829753,-4,-4,4,48,18,-1,-2,-1
790784836523,-2,1,15,27,6,-1,-1,-4
790784836523,-2,2,9,18,4,-1,-2,-3
790784849282,3,-3,-22,-9,14,3,1,1
790784849282,-4,-2,-3,-26,-12,1,-3,-3
790784856006,1,-6,-16,13,6,-5,-3,1
790784856006,-5,-2,1,-1,-19,-3,-2,-2
790784868498,1,7,17,13,20,-1,0,-1
790784868498,2,4,20,-9,-8,-1,0,0
790784874146,2,-5,-22,2,1,4,2,2
790784874146,-4,-10,-13,-19,-10,-5,-3,-3
790784889024,2,2,-4,10,-4,2,1,1
790784889024,-4,4,7,-62,-10,-5,-3,-3
790784898015,2,4,3,22,-26,1,1,-1
790784898015,5,1,5,46,45,5,1,3
790784912228,-4,-2,9,13,13,-1,-4,-5
790784912228,0,1,0,10,15,1,0,2
790784919007,-3,-1,-8,-20,-16,0,0,-2
790784919007,-1,-2,-9,-3,-7,0,3,1
790784935365,-2,-4,7,-24,-20,-1,0,-1
790784935365,-1,-2,-9,4,-2,0,-2,-2
790784936987,-3,-2,2,-8,14,-2,-2,-1
790784936987,1,8,15,-17,-14,-1,0,-1
790784957919,4,2,-3,10,-6,0,1,1
790784957919,0,-8,-23,-17,-7,0,1,1
790784959529,1,-1,5,2,1,-2,-2,-3
790784959529,2,4,16,56,1,1,-1,-1
790784972211,-4,-2,6,24,37,-1,-1,-2
790784972211,-4,-2,-7,0,-6,-1,-1,-3
790784979048,1,2,2,-14,2,1,2,2
790784979048,3,2,1,-39,-23,-3,0,0
790784995358,3,1,-10,-21,-13,2,0,2
790784995358,-3,-9,-18,32,-2,1,-3,-3
790784997007,-4,-3,14,-1,32,2,0,0
790784997007,-4,-1,-3,-36,-14,-3,-2,-4
790785017843,2,1,-4,46,4,1,1,1
790785017843,1,-1,3,-14,5,-2,-1,-2
790785019481,3,4,5,25,-12,2,1,3
790785019481,-12,-8,-3,18,12,-7,-8,-6
790785031518,0,2,7,-16,-17,2,2,0
790785031518,6,4,2,-18,5,3,1,2
790785040561,-1,-5,-11,-15,-11,-3,-2,-3
790785040561,0,-1,-9,13,1,0,0,2
790785055387,-8,-5,-9,-49,-5,-3,-2,-3
790785055387,2,4,5,46,-3,-1,0,0
790785057005,3,6,15,6,12,1,1,0
790785057005,-3,-8,-20,-21,6,2,1,-2
790785077862,-7,-5,2,9,-15,-9,-4,-3
790785077862,0,1,4,-8,-5,-1,2,3
790785079482,2,5,10,1,-5,0,1,2
790785079482,2,-2,-11,-1,25,6,0,1
790785091530,0,-1,-1,-2,-10,-1,-2,-1
790785091530,-3,-2,10,-24,0,0,0,-1
790785100509,1,0,-9,-7,-14,-7,-4,-1
790785100509,-2,-3,-6,26,5,1,2,2
790785115574,-3,-2,-1,3,-18,-2,-1,-2
790785115574,1,2,3,-5,31,2,2,0
790785117259,-2,1,1,-6,-8,1,-1,0
790785117259,0,0,-2,-30,2,1,0,-1
790785138040,-5,-2,-3,-8,-2,0,-2,-4
790785138040,1,-2,3,39,-5,0,-2,1
790785139485,0,-3,-7,-9,-6,-1,0,1
790785139485,2,-3,2,-4,10,-4,-1,1
790785151668,2,2,-2,6,-1,4,1,0
790785151668,0,-3,-6,-3,-10,-4,0,1
790785160487,-6,1,11,-18,-12,-3,-2,-3
790785160487,2,-5,-24,1,4,-4,-3,0
790785175348,-1,-5,10,20,-5,-4,-4,-3
790785175348,3,3,3,13,13,2,0,1
790785177009,-3,1,8,-2,9,-2,-1,-2
790785177009,1,2,8,-33,-35,-5,-1,-2
790785197870,4,0,-21,-50,18,1,3,3
790785197870,-8,-4,-1,45,-3,-1,-4,-7
790785199536,3,4,12,43,2,1,1,1
790785199536,1,2,2,5,4,6,2,1
790785211493,-1,-2,4,-3,18,0,0,1
790785211493,-7,-4,-16,-13,-18,-8,-5,-3
790785228005,-3,0,8,-19,4,1,1,-1
790785228005,7,6,15,-6,-24,-2,1,1
790785235372,6,-1,-18,32,29,6,2,4
790785235372,-11,-1,6,-12,7,0,-1,-5
790785237002,-2,-3,0,4,-1,-3,-1,-1
790785237002,-1,-2,1,-14,-14,-3,0,0
790785257891,1,4,2,-13,-8,-5,-1,1
790785257891,8,-1,-5,-9,-4,-2,1,1
790785259525,2,1,-8,28,29,11,3,4
790785259525,-12,-5,4,16,-4,-5,-7,-8
790785271488,-2,1,18,9,-12,-4,-1,-2
790785271488,6,-1,-18,-37,0,5,2,2
790785280517,1,-6,-14,8,-7,-5,-2,-2
790785280517,-6,-2,9,16,17,-2,-3,-3
790785295361,-3,1,4,3,-5,-1,-1,-2
790785295361,5,2,5,-24,-19,-3,1,4
790785296996,10,4,-7,-31,-22,5,1,2
790785296996,6,0,-1,49,49,7,0,6
790785317878,-25,-8,9,23,11,-10,-13,-16
790785317878,-1,0,0,-10,-10,-1,0,1
790785319460,0,-3,-9,-37,-17,-5,0,-2
790785319460,9,0,-28,-31,-44,-1,3,5
790785331512,4,5,10,58,56,9,3,4
790785331512,-13,-7,4,28,14,-2,-5,-7
790785340607,-3,-3,-6,-39,-16,-8,-3,-5
790785340607,5,4,-2,-28,-17,5,2,2
790785355363,1,-1,8,63,0,-4,0,2
790785355363,-3,2,4,-11,1,3,2,0
790785357024,-2,-4,10,24,8,1,0,-2
790785357024,2,-2,-19,-25,-6,-4,0,2
790785377993,-1,3,1,-51,-24,3,0,-2
790785377993,2,0,3,21,2,-5,0,0
790785379525,3,7,3,6,17,-1,-1,1
790785379525,0,-5,-11,27,-17,0,-1,-2
790785392212,-6,-3,0,-13,18,-4,-3,-3
790785392212,-2,-1,10,3,-1,-3,0,-2
790785402321,-5,-5,-6,-14,-12,-6,-1,-4
790785402321,3,3,8,-7,0,-5,3,2
790785415148,10,1,-15,-16,-14,9,7,7
790785415148,-7,-2,-3,-3,-3,-3,-5,-7
790785421507,-4,-2,-5,13,18,1,0,0
790785421507,-4,3,16,13,7,-3,-2,-3
790785437976,7,2,3,-34,-32,-2,0,1
790785437976,4,-7,-42,-46,-17,-6,-1,4
790785439509,-12,-7,11,80,26,1,-4,-5
790785439509,-8,-6,9,-21,15,-3,-4,-5
790785451521,4,1,2,5,-17,-2,0,1
790785451521,9,5,-2,1,-7,0,3,2
790785460538,-1,4,4,-4,5,2,-1,1
790785460538,-13,-3,1,-8,2,-3,-7,-8
790785475561,1,0,2,-4,-8,-1,0,-1
790785475561,8,1,-11,-14,-10,2,1,4
790785477019,4,-5,-7,9,6,2,1,4
790785477019,-8,3,11,5,13,1,-2,-3
790785498003,0,0,2,0,-1,-4,-1,-1
790785498003,-3,-6,2,-1,-13,-2,-1,-3
790785505518,5,0,-3,-5,-2,0,2,1
790785505518,0,7,7,15,13,5,2,0
790785511509,-6,-7,-12,-24,-12,-7,-3,-4
790785511509,0,2,10,20,10,3,1,2
