timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
792054571911,-2,-1,3,18,2,-1,-2,0
792054571911,1,0,1,-22,-4,1,0,0
792054572791,-1,0,0,-4,-2,-3,-1,-1
792054572791,-2,-1,0,9,-2,-1,-3,-1
792054598080,0,-3,1,13,2,0,-2,1
792054598080,0,0,-1,15,-1,1,-1,-1
792054598758,-2,-3,-9,-13,-13,-6,0,-1
792054598758,1,-1,1,22,-1,0,1,0
792054599600,-1,0,-5,-57,20,2,0,-2
792054599600,1,0,3,56,-6,3,1,0
792054605047,2,1,2,-34,16,6,3,0
792054605047,-2,-3,-4,-20,-10,-4,-2,0
792054625827,-1,4,6,29,-9,-5,-2,-1
792054625827,1,-4,-8,-27,4,-4,-3,-1
792054657605,-8,-5,-5,24,-5,-3,-2,-1
792054657605,-3,1,-1,5,0,-4,-2,-3
792054658418,-1,-1,3,7,-4,-3,0,-1
792054658418,0,2,4,-10,1,-1,1,-1
792054660919,5,2,11,15,0,2,1,0
792054660919,3,2,1,-12,2,4,4,0
792054664898,-3,-4,-12,-18,-2,-1,-1,-2
792054664898,-5,-4,1,26,-6,-2,-2,-2
792054666405,-1,-2,1,8,-6,-3,-3,-1
792054666405,2,4,-3,-25,-33,2,2,1
792054667333,3,0,2,13,31,5,3,1
792054667333,-2,-2,1,-63,18,-5,-2,0
792054690693,-2,2,3,45,4,4,-4,-2
792054690693,-9,-5,-5,-10,-5,-5,-6,-5
792054691406,-5,-1,-16,-3,-21,-4,-6,-4
792054691406,3,-4,0,6,-1,1,3,2
792054738937,2,4,3,-13,-1,0,0,1
792054738937,1,2,2,29,6,-2,1,1
792054739703,-1,-5,5,-12,-12,-2,0,-2
792054739703,-2,1,-3,22,-15,-13,-1,-1
792054749319,4,2,-3,-25,-4,-5,5,3
792054749319,7,1,6,1,20,17,6,4
792054749334,3,-2,5,2,9,2,2,3
792054749334,-7,5,-7,12,-10,0,-5,-8
792054778390,-5,-3,-7,-37,0,3,-4,-4
792054778390,-6,-9,-10,7,11,-11,-7,-4
792054780156,-1,-1,-1,32,-8,-3,-2,0
792054780156,4,-3,5,-28,-8,12,5,3
792054782821,2,7,18,8,-18,-18,3,1
792054782821,-3,13,-15,-8,16,-5,-5,-7
792054793135,4,-12,-8,-11,23,10,1,0
792054793135,-7,-11,4,23,0,6,-3,-3
792054794642,0,-1,12,10,13,13,4,3
792054794642,8,26,38,-7,-43,-27,9,8
792054795443,2,-1,-42,7,13,12,-3,0
792054795443,-10,-25,-29,-12,15,0,-9,-5
792054815334,-12,4,-28,15,2,1,-14,-13
792054815334,8,-12,36,-43,-12,8,9,6
792054846791,-13,-41,-68,3,38,-15,-8,-4
792054846791,-11,-1,-33,26,-31,4,-6,-4
792054847631,9,11,40,64,20,17,7,3
792054847631,-10,5,42,-64,74,23,6,-1
792054852039,12,29,1,-6,-24,9,6,-1
792054852039,6,-19,-58,-71,-13,-25,-1,2
792054852804,-19,-33,-23,37,-9,-10,-11,-2
792054852804,-2,-4,15,-36,-11,8,-6,-4
792054854407,14,31,92,82,-92,-39,14,11
792054854407,14,26,34,-37,29,24,7,2
792054857521,12,-7,-46,-98,66,13,9,8
792054857521,-18,-24,-10,35,7,-1,-14,-11
792054874014,-27,-30,-114,21,10,-5,-29,-22
792054874014,4,13,67,4,-13,-6,-1,0
792054880034,22,10,70,110,-33,10,14,12
792054880034,6,6,-8,-77,0,-3,8,5
792054889037,15,28,74,-34,-17,15,17,14
792054889037,9,-35,-66,76,-65,-5,10,3
792054911564,-28,1,-27,-84,6,-59,-27,-21
792054911564,0,-7,15,51,26,-13,-12,2
792054913032,1,42,6,22,-24,13,-7,0
792054913032,4,-21,-35,-14,61,28,6,1
792054934089,-8,4,-2,60,19,26,5,-5
792054934089,7,-11,1,-5,-62,-22,4,0
792054935463,-15,-39,-64,-72,12,2,-6,-4
792054935463,-7,17,49,78,43,0,-5,-1
792054956513,5,28,74,47,1,8,0,-3
792054956513,9,17,86,-19,-3,-8,1,4
792054957990,-5,2,-52,-15,-88,0,-3,-5
792054957990,0,6,94,-28,77,-49,-1,0
792054971508,-14,-49,-119,-48,61,17,-3,-5
792054971508,-5,-42,-101,67,21,22,5,-4
792054973078,0,-17,34,-27,66,22,1,4
792054973078,-17,50,37,-49,-73,-3,-18,-12
792055001688,17,29,21,20,-34,-19,1,11
792055001688,0,13,41,26,-5,3,3,2
792055003079,6,-17,-70,5,-30,-12,4,4
792055003079,0,-5,-23,-16,0,7,4,3
792055007631,1,8,65,-45,-32,-5,1,0
792055007631,3,8,-40,15,-28,6,3,-2
